專案名稱,抽驗日期,分類,檢體名稱,抽驗行政郵遞區號,抽驗地點,檢驗結果,不符合規定原因
蔬果,20231102,大漿果類,木瓜,112,世界城水果店/臺北市北投區石牌路1段166巷117號1樓,不符合規定,殺蟲劑Methomyl納乃得0.01 ppm（標準：不得檢出）
蔬果,20231103,根莖菜類,白蘿蔔,114,明德素食園/臺北市內湖區成功路2段325號B1,不符合規定,殺蟎劑Pyridaben畢達本0.01 ppm（標準：不得檢出）
蔬果,20231103,小葉菜類,菠菜,114,三軍總醫院營養部/臺北市內湖區成功路2段325號B1,不符合規定,殺蟲劑Indoxacarb因得克0.11 ppm（標準：0.01ppm以下）
蔬果,20231101,香辛植物及其他草木本植物,香菜(芫荽),103,董O興蔬菜攤/臺北市大同區錦西街38巷18號,不符合規定,殺菌劑Hexaconazole菲克利0.03 ppm（標準：0.01 ppm以下）
蔬果,20231101,小葉菜類,青蔥,104,全聯實業股份有限公司朱崙分公司/臺北市中山區龍江路15號1-2樓,不符合規定,殺蟲劑芬普尼代謝物（ Fipronil-sulfone） 0.002ppm（標準：0.001 ppm以下）
蔬果,20231102,小葉菜類,芥藍,111,白毫素食天地/臺北市士林區天母西路13巷10號1樓,不符合規定,殺草劑Pendimethalin施得圃0.2 ppm（標準：0.1ppm以下）
醃製及脫水蔬果(含蜜餞),20231106,"非即食
醃漬蔬菜","酸菜
(2024/3/10)",108,吟興商行(吟興雜糧行)/臺北市萬華區桂林路74號1樓,不符合規定,檢出二氧化硫0.15g/kg (標準：0.030 g/kg以下)
醃製及脫水蔬果(含蜜餞),20231108,醃漬水果,醃漬鳥梨,111,哈林水果專賣店/臺北市士林區士東路100號士東市場80號攤,不符合規定,"環己基(代)磺醯胺酸鹽1.18g/kg(標準：不得檢出)
糖精0.06g/kg(標準：不得檢出)"
醃製及脫水蔬果(含蜜餞),20231108,"非即食
醃漬蔬菜","漬の菜
(2024/3/10)",111,士東南北雜貨店/臺北市士林區士東路100號士東市場35號攤,不符合規定,二氧化硫0.19g/kg(標準：0.030g/kg以下)
醃製及脫水蔬果(含蜜餞),20231109,酸菜類(屬醃漬蔬菜),"酸菜
(2024/10/14)",104,臺北市第二果菜批發市場第18-16攤葉爾旺(蔬菜承銷人2154)/臺北市中山區民族東路336號/v18-16,不符合規定,"苯甲酸 1.2g/kg(標準：0.6 g/kg以下)
二氧化硫 0.35g/kg(標準：0.030g/kg以下)"
醃製及脫水蔬果(含蜜餞),20231109,醃漬水果,"鳥梨
",104,果鮮一品商行/臺北市中山區吉林路176號,不符合規定,"環己基(代)磺醯胺酸鹽 0.90g/kg(標準：不得檢出)
糖精 0.10  g/kg(標準：不得檢出)"
醃製及脫水蔬果(含蜜餞),20231109,酸菜類(屬醃漬蔬菜),酸菜,104,石家割包(源石石家刈包)/臺北市中山區中吉里民生東路2段138號1樓,不符合規定,二氧化硫 0.19g/kg(標準：0.030g/kg以下)
螺獅粉專案,20231129,螺獅粉,"狸貓妃螺螄粉-螺螄醬料包
(有效日期:2024/03/25)",110,蝦皮購物-Alita曖莉塔(https://shopee.tw/wuy95304),不符合規定,檢出防腐劑去水醋酸：0.03 g/kg(標準：不得添加)
年節食品,20231127,香辛植物類,特花椒粒（有效日期：20251005）（產地：中國大陸）,110,興長生蔘藥行/臺北市信義區吳興街197號,不符合規定,"殺蟲劑Acetamiprid亞滅培0.87ppm（標準：0.05ppm以下）
殺蟲劑Carbofuran加保扶0.37ppm（標準：不得檢出）
殺蟲劑Chlorpyrifos陶斯松0.26ppm（標準：0.03ppm以下）
殺蟲劑Clothianidin可尼丁0.06ppm（標準：0.03ppm以下）
殺菌劑Difenoconazole待克利0.10ppm（標準：0.05ppm以下）
殺蟲劑Imidacloprid益達胺0.23ppm（標準：0.05ppm以下）
殺菌劑Pyraclostrobin百克敏0.13ppm（標準：0.05ppm以下）
殺菌劑Tebuconazole得克利0.34ppm（標準：0.05ppm以下）"
年節食品,20231128,香辛植物類,花椒（有效日期： 20260202）（產地：中國大陸）,115,康鮮食品股份有限公司/臺北市南港區重陽路263巷3號4樓,不符合規定,"殺蟲劑Acetamiprid亞滅培0.31 ppm（標準：0.05 ppm以下）
殺蟲劑Carbofuran加保扶0.11 ppm（標準：不得檢出）
殺蟲劑Imidacloprid益達胺0.10 ppm（標準：0.05ppm以下）
殺菌劑Tebuconazole得克利0.20ppm（標準：0.05 ppm以下）
產品外包裝標示「嚴選安心產品 合格 敬請民眾安心使用」等字樣，涉易生誤解"
年節食品,20231129,香辛植物類,陝西花椒（有效日期：20250202）（產地：中國大陸）,100,泰生堂參藥行/臺北市中正區開封街1段100號,不符合規定,"殺蟲劑Acetamiprid亞滅培0.18ppm（標準：0.05ppm以下）
殺蟲劑Chlorpyrifos 陶斯松0.05ppm（標準：0.03ppm以下）
殺蟲劑Imidacloprid益達胺0.07ppm（標準：0.05ppm以下）
殺菌劑Tebuconazole 得克利0.06ppm（標準：0.05 ppm以下）
外包裝標示「合格」、「安心使用」等字樣，涉易生誤解"
年節食品,20231129,香辛植物類,B.B.漢源花椒（有效日期：20250415）（產地：中國大陸）,103,振農食品行/臺北市大同區迪化街1段283號,不符合規定,殺菌劑Tebuconazole得克利0.06 ppm（標準：0.05ppm以下）
年節食品,20231128,包葉菜類,刈菜,104,紀O丞蔬果攤/臺北市中山區民族東路410巷61號,不符合規定,"殺蟲劑Cypermethrin賽滅寧1.3ppm（標準:1.0 ppm以下）
殺菌劑Dimethomorph達滅芬2 .8ppm（ 標準： 2 .5ppm以下）
殺蟲劑Dinotefuran達特南7.6ppm（標準：2.0ppm以下）"
年節食品,20231129,包葉菜類,大芥菜,114,葉O雲/臺北市內湖區康寧路1段26巷1號旁(湖光市場無市招蔬菜攤),不符合規定,"殺蟎劑Fenpyroximate芬普蟎0.26ppm（標準：0.01ppm 以下）
殺蟲劑Methoxyfenozide滅芬諾2.06ppm（標準：0.01ppm以下 ）"
年節食品,20231128,根莖菜類,白蘿蔔,114,純香食品行/臺北市內湖區南京東路6段330巷18弄15號,不符合規定,殺蟲劑芬普尼(Fipronil)0.012ppm、芬普尼代謝物(Fipronil-sulfone)0.008ppm(標準:0.001ppm以下)
年節食品,20231129,香辛植物類,大辣椒（FV）,108,林O鴦3499/臺北市萬華區萬大路533號(第一果菜批發市場零批場地號2215),不符合規定,殺菌劑Pencycuron賓克隆0.15 ppm（標準：0.05 ppm以下）
年節食品,20231129,根莖菜類,農產白蘿蔔,106,台北市農會蔬果舖子/臺北市大安區復興南路1段340巷旁空地,不符合規定,殺蟲劑Cyhalothrin賽洛寧 0.02 ppm（標準：0.01 ppm以下）
年節食品,20231129,包葉菜類,大刈菜,108,第一果菜批發市場零批場地號1610/臺北市萬華區萬大路533號,不符合規定,殺蟲劑Dinotefuran達特南2.8ppm（標準：2.0ppm以下）
年節食品,20231205,竹笙,竹笙(有效日期：20250130),100,顏素眞號（上海火腿公司/臺北市中正區南海路2巷16號1樓）,不符合規定,"漂白劑二氧化硫0.99g/kg（標準：0.50g/kg以下）
殺蟲劑Acetamiprid亞滅培0.08ppm（標準：0.05ppm以下）
殺蟲劑Chlorfenapyr克凡派0.14ppm（標準：0.05ppm以下）
殺蟲劑Chlorpyrifos陶斯松0.06ppm（標準：0.03ppm以下）
殺蟲劑Clothianidin可尼丁0.16ppm（標準：0.05ppm以下）
殺菌劑Propiconazole普克利0.12ppm（標準：0.05ppm以下）"
年節食品,20231205,竹笙,竹笙,106,雅苑粵菜海鮮樓股份有限公司(雅苑粵菜港式飲茶)/臺北市大安區光復南路202號2樓,不符合規定,"鎘5mg/kg（標準：2mg/kg以下）
殺蟲劑Chlorpyrifos陶斯松0.18ppm（標準：0.03ppm以下）
殺蟲劑Clothianidin可尼丁0.19pm（標準：0.05ppm以下）"
年節食品,20231201,竹笙,竹笙一級(有效日期：20240427)(產地：中國大陸),114,京老滿餐飲股份有限公司(餡老滿)/臺北市內湖區成功路4段188號2樓,不符合規定,"殺蟲劑Fipronil芬普尼0.012ppm（標準：0.002ppm以下）
殺蟲劑Propoxur安丹2.56ppm（標準：0.05ppm以下）"
年節食品,20231127,木耳,白木耳（有效日期20240516）（產地：中國）,110,興長生蔘藥行/臺北市信義區吳興街197號,不符合規定,生長調節劑Chlormequat 克美素0.32 ppm（標準：不得檢出）
年節食品,20231129,木耳,白木耳（產地：中國大陸）,114,萬年興商行/臺北市內湖區內湖路3段107號1樓,不符合規定,生長調節劑Chlormequat 克美素0.08ppm（標準：不得檢出）
年節食品,20231127,蕈菜類,茶樹菇,111,東杰商行/臺北市士林區社中街33巷4號,不符合規定,"殺蟲劑Chlorpyrifos	陶斯松0.14ppm(標準：0.03ppm以下)	
殺蟲劑Fipronil	芬普尼0.068ppm、Fipronil-sulfone芬普尼代謝物0.020ppm(標準：0.002ppm以下)	"
年節食品,20231201,蕈菜類,猴頭菇（產地：中國大陸）,114,萬年興商行/臺北市內湖區內湖路3段107號1樓,不符合規定,生長調節劑Chlormequat 克美素0.33ppm（標準：不得檢出）
年節食品,20231205,豆乾類,非基改秘製豆干（製造日期：2023年12月3日）,103,八玖食小食樂趣/臺北市大同區迪化街1段21號永樂市場1019攤,不符合規定,防腐劑己二烯酸4.7g/kg（標準：2.0g/kg以下），且該產品為包裝食品，惟未依相關規定標示
年節食品,20231206,豆乾類,黃日香休閒片(有效日期：20240229),108,正祥食品行(黃日香豆干台北總店)/臺北市萬華區中華路2段66號1樓/實際抽驗地為64號,不符合規定,防腐劑己二烯酸2.2 g/kg（標準：2.0g/kg以下）
年節食品,20231205,水產及其加工品,蝦米AAA(有效日期：202506)（產地：中國大陸）,114,麗庭莊園有限公司88號樂章婚宴會館/臺北市內湖區民善街88號5樓,不符合規定,檢出漂白劑二氧化硫0.05g/kg，惟外包裝成份未標示
