"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"84996418","峻珈營造有限公司","臺北市中正區忠孝東路2段130號9樓之7","7500000"," "," ","0830707","臺北市中正區幸市里忠孝東路２段１３０號９樓之７","410013,410099,421000,429099","26-MAR-26","","","","",""
"85025208","正清環保有限公司","臺北市內湖區新明路498巷6弄4號3樓","1000000"," "," ","1080925","臺北市內湖區行善里新明路４９８巷６弄４號３樓","381111,382111,383099,381114","26-MAR-26","","","","",""
"85099019","拓樂有限公司","臺北市松山區光復北路26巷3號7樓","20000000"," "," ","1080917","臺北市松山區復勢里光復北路２６巷３號７樓","050012,060014,060099,","26-MAR-26","","","","",""
"85116782","鍇翔能源科技股份有限公司","臺北市大同區華陰街79號7樓","100000000","5150000"," ","1081105","臺北市大同區建明里華陰街７９號７樓","281099,451099,,","26-MAR-26","","","","",""
"86320158","鴻青股份有限公司","臺北市大安區仁愛路4段122巷61號5樓之2","29000000","29000000"," ","0801216","臺北市大安區敦安里仁愛路４段１２２巷６１號５樓之２","410099,,,","26-MAR-26","","","","",""
"86575378","亞鉅營造股份有限公司","臺北市松山區南京東路4段77號3樓","200000000","200000000"," ","0810303","臺北市松山區東勢里南京東路４段７７號３樓","431021,429011,060099,","26-MAR-26","","","","",""
"86731981","文程興業股份有限公司","臺北市大安區敦化南路1段205號13樓之8","25000000","25000000"," ","0810703","臺北市大安區建安里敦化南路１段２０５號１３樓之８","681112,464111,,","26-MAR-26","","","","",""
"86748553","春福農牧事業股份有限公司","臺北市中正區濟南路2段31之47號","13000000","13000000"," ","0810609","臺北市中正區幸福里濟南路２段３１─４７號","013014,432000,234099,","26-MAR-26","","","","",""
"86870033","巧工興業有限公司","臺北市大安區延吉街68號之20，1樓","5000000"," "," ","0810918","臺北市大安區延吉街６８－２０號１樓","461515,,,","26-MAR-26","","","","",""
"88146803","龍城營造股份有限公司","臺北市信義區松德路171號16樓之2","255000000","255000000"," ","0550331","臺北市信義區安康里松德路１７１號１６樓之２","410013,410099,,","26-MAR-26","","","","",""
"89150092","基捷工程有限公司","臺北市中山區新生北路2段31之1號9樓之7","2000000"," "," ","1111111","臺北市中山區中原里新生北路２段３１─１號９樓之７","433212,433117,434011,","26-MAR-26","","","","",""
