"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"90299348","豐禾淨啟環科股份有限公司","新北市中和區中山路2段369之1號2樓","15000000","1300000"," ","1110708","新北市中和區碧河里中山路２段３６９－１號２樓","461999,,,","26-MAR-26","","","","",""
"90306208","昱升工程有限公司","新北市八里區仁愛路43號15樓","200000"," "," ","1110607","新北市八里區仁愛路４３號１５樓","461214,,,","26-MAR-26","","","","",""
"90307109","立清有限公司","新北市蘆洲區中興街130巷11號2樓","5000000"," "," ","1110713","新北市蘆洲區樓厝里００２鄰中興街１３０巷１１號２樓","812100,529099,,","26-MAR-26","","","","",""
"90307157","元晟開發工程有限公司","新北市五股區西雲路116之2號6樓","10000000"," "," ","1110713","新北市五股區成功里西雲路１１６之２號６樓","381113,382111,,","26-MAR-26","","","","",""
"90308141","禾蒝工程有限公司","新北市板橋區館前西路275號16樓","5000000"," "," ","1110627","新北市板橋區湳興里館前西路２７５號１６樓","060014,,,","26-MAR-26","","","","",""
"90316043","成潤工程有限公司","新北市板橋區中正路330號11樓","1000000"," "," ","1110629","新北市板橋區港尾里中正路３３０號１１樓","429011,434011,812100,781099","26-MAR-26","","","","",""
"90332901","尚旺開發股份有限公司","新北市新莊區中華路2段5號8樓","60000000","60000000"," ","1110620","新北市新莊區中華路２段５號８樓","681111,,,","26-MAR-26","","","","",""
"90363220","潤昌有限公司","新北市永和區永貞路107號3樓","1000000"," "," ","1110526","新北市永和區永貞路１０７號３樓","434011,461999,,","26-MAR-26","","","","",""
"90368891","富甲機械工程有限公司","新北市三重區水漾路2段36號","500000"," "," ","1110810","新北市三重區二重里水漾路２段３６號","429099,431015,410099,","26-MAR-26","","","","",""
"90368920","錦達開發有限公司","新北市八里區仁愛路41號3樓","5000000"," "," ","1110810","新北市八里區仁愛路４１號３樓","434014,,,","26-MAR-26","","","","",""
"90369049","奎利建設有限公司","新北市新莊區五工路82號6樓","10000000"," "," ","1110810","新北市新莊區福興里五工路８２號６樓","681111,,,","26-MAR-26","","","","",""
"90377435","上義開發有限公司","新北市新莊區中正路514巷69號","2200000"," "," ","1110819","新北市新莊區營盤里中正路５１４巷６９號","439014,,,","26-MAR-26","","","","",""
"90378027","盛宇工程有限公司","新北市三峽區大智路8之3號3樓","100000"," "," ","1110822","新北市三峽區鳶山里大智路８之３號３樓","461214,431014,771100,494099","26-MAR-26","","","","",""
"90382922","升盛有限公司","新北市三重區新北大道1段123號11樓","1000000"," "," ","1110713","新北市三重區光陽里０３０鄰新北大道１段１２３號１１樓","681111,433900,434011,","26-MAR-26","","","","",""
"90386434","永義國際有限公司","新北市板橋區中正路216巷82號","5600000"," "," ","1110829","新北市板橋區港德里中正路２１６巷８２號１樓","433111,381111,,","26-MAR-26","","","","",""
"90403264","永晟能源有限公司","新北市板橋區廣和街56號11樓","200000"," "," ","1110721","新北市板橋區和平里廣和街５６號１１樓","281099,351000,464920,433112","26-MAR-26","","","","",""
"90414332","久凱興土木包工業有限公司","新北市泰山區泰林路2段462號","1000000"," "," ","1101119","新北市泰山區山腳里泰林路２段４６２號","429099,,,","26-MAR-26","","","","",""
"90446691","威順貨運股份有限公司","新北市新店區安興路117號2樓之3","25000000","25000000"," ","1101108","新北市新店區安和里安興路１１７號２樓之３","494099,,,","26-MAR-26","","","","",""
"90451981","驛成管理顧問有限公司","新北市蘆洲區光華路175巷100號","5000000"," "," ","1100909","新北市蘆洲區中路里光華路１７５巷１００號","711111,,,","26-MAR-26","","","","",""
"90452623","郡鐽有限公司","新北市三重區重新路2段46之8號3樓","300000"," "," ","1101008","新北市三重區光榮里重新路２段４６之８號３樓","381113,,,","26-MAR-26","","","","",""
"90459230","羽鴻開發有限公司","新北市鶯歌區國際二路4巷7號3樓","500000"," "," ","1100913","新北市鶯歌區大湖里國際二路４巷７號３樓","060099,439014,,","26-MAR-26","","","","",""
"90465205","龍欣建設有限公司","新北市土城區仁愛路28之1號4樓","15000000"," "," ","1101028","新北市土城區清水里仁愛路２８－１號４樓","670012,,,","26-MAR-26","","","","",""
"90472563","日陞通運有限公司","新北市五股區西雲路203巷9號","25000000"," "," ","1101101","新北市五股區成州里西雲路２０３巷９號","494099,530100,,","26-MAR-26","","","","",""
"90473129","新鮮大師電商有限公司","新北市汐止區新台五路1段97號27樓之7","2050000"," "," ","1101103","新北市汐止區復興里新台五路一段９７號二十七樓之７","454399,454700,454999,456999","26-MAR-26","","","","",""
"90473471","鼎億開發工程有限公司","新北市中和區南山路236巷34之6號2樓","10000000"," "," ","1101103","新北市中和區外南里南山路２３６巷３４－６號２樓","433212,433199,,","26-MAR-26","","","","",""
"90483225","晴成國際有限公司","新北市土城區中正路74巷3弄2號4樓","1000000"," "," ","1100831","新北市土城區員信里中正路７４巷３弄２號４樓","429099,461111,,","26-MAR-26","","","","",""
"90564269","崴隆新能源科技股份有限公司","新北市永和區自強街42號","2000000","2000000"," ","1110208","新北市永和區大新里自強街４２號","433199,353011,,","26-MAR-26","","","","",""
"90564606","鴻翰股份有限公司","新北市三峽區中正路1段155號","10000000","10000000"," ","1110210","新北市三峽區中正里中正路１段１５５號","469199,060099,,","26-MAR-26","","","","",""
"90564628","廣泰行銷有限公司","新北市土城區清水路141巷9弄7號","1000000"," "," ","1110210","新北市土城區青雲里清水路１４１巷９弄７號","681211,681111,452000,","26-MAR-26","","","","",""
"90568103","群策興利顧問有限公司","新北市中和區中山路2段332巷59號11樓","500000"," "," ","1101221","新北市中和區中原里中山路２段３３２巷５９號１１樓","702099,,,","26-MAR-26","","","","",""
"90568384","誠興商城實業有限公司","新北市汐止區福德二路79號2樓","3000000"," "," ","1101221","新北市汐止區中興里福德二路７９號２樓","772100,381111,,","26-MAR-26","","","","",""
"90571037","華耀國際開發有限公司","新北市汐止區大同路1段175號8樓","1000000"," "," ","1110124","新北市汐止區樟樹里大同路一段１７５號８樓","060099,,,","26-MAR-26","","","","",""
"90571120","鈺生工程有限公司","新北市板橋區四川路1段23號3樓之2","10000000"," "," ","1110124","新北市板橋區景星里四川路１段２３號３樓之２","381199,461999,,","26-MAR-26","","","","",""
"90571178","穎川開發工程有限公司","新北市三重區重新路2段21號8樓","1000000"," "," ","1110124","新北市三重區文化里重新路２段２１號８樓","431014,439014,,","26-MAR-26","","","","",""
"90571698","永陞能源股份有限公司","新北市板橋區廣和街56號11樓","1000000","1000000"," ","1110125","新北市板橋區和平里廣和街５６號１１樓","351000,433112,464920,281099","26-MAR-26","","","","",""
"90574317","天曄建材工程股份有限公司","新北市板橋區中山路2段33號","17000000","17000000"," ","1101206","新北市板橋區西安里中山路２段３３號","234012,239999,233200,461999","26-MAR-26","","","","",""
"90577010","瑪上鴻新能源科技有限公司","新北市中和區景新街410巷25號","100000"," "," ","1110110","新北市中和區興南里景新街４１０巷２５號","422099,353011,,","26-MAR-26","","","","",""
