"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"80193964","神固國際科技工程企業有限公司","臺北市中山區中山北路2段112號4樓之3","20000000"," "," ","0920519","臺北市中山區集英里中山北路２段１１２號４樓之３","382111,760999,390011,","26-MAR-26","","","","",""
"80200070","聖豐開發有限公司","臺北市士林區社子街124號1樓","2000000"," "," ","0920606","臺北市士林區社新里社子街１２４號１樓","433211,464920,433112,","26-MAR-26","","","","",""
"80204462","天籟實業股份有限公司","臺北市中正區忠孝西路1段41號5樓之7","15000000","13500000"," ","0920620","臺北市中正區黎明里忠孝西路１段４１號５樓之７","433212,,,","26-MAR-26","","","","",""
"80242156","達隆開發有限公司","臺北市大同區延平北路1段92號2樓之2","2000000"," "," ","0910829","臺北市大同區永樂里延平北路１段９２號２樓之２","013013,,,","26-MAR-26","","","","",""
"80258918","益茂科技股份有限公司","臺北市大同區涼州街1之15號1樓","25000000","25000000"," ","0910725","臺北市大同區民權里涼州街１─１５號１樓","456199,474199,464111,483111","26-MAR-26","","","","",""
"80258987","兆益地產股份有限公司","臺北市松山區復興北路181號13樓","550000000","477000000"," ","0910725","臺北市松山區松基里復興北路１８１號１３樓","681111,670012,681112,461999","26-MAR-26","","","","",""
"80262357","合通綠能股份有限公司","臺北市大安區敦化南路2段105號22樓","36000000","36000000"," ","0910805","臺北市大安區義安里敦化南路２段１０５號２２樓","433199,351000,,","26-MAR-26","","","","",""
"80265495","馬雅資訊股份有限公司","臺北市松山區南京東路4段50號5樓之2","200000000","124284450"," ","0910814","臺北市松山區美仁里南京東路４段５０號５樓之２","620199,,,","26-MAR-26","","","","",""
"80277534","中國興業股份有限公司","臺北市中山區南京東路3段101號4樓","11000000","11000000"," ","0910919","臺北市中山區復華里南京東路３段１０１號４樓","340015,481014,474199,451099","26-MAR-26","","","","SEAHORSE,大通力,DAYTONA,","2024-11-27"
"80279168","禹達工程有限公司","臺北市大安區基隆路2段206號2樓","9000000"," "," ","0910925","臺北市大安區虎嘯里基隆路２段２０６號２樓","433111,,,","26-MAR-26","","","","","2024-11-27"
