年度,受傷部位,行業別,受傷部位次數
2022,臀,電力及燃氣供應業,1
2022,臀,用水供應及污染整治業,4
2022,臀,營建工程業,7
2022,臀,批發及零售業,33
2022,臀,運輸及倉儲業,38
2022,臀,住宿及餐飲業,47
2022,臀,出版、影音製作、傳播及資通訊服務業,5
2022,臀,金融及保險業,24
2022,臀,不動產業,6
2022,臀,專業、科學及技術服務業,0
2022,臀,支援服務業,8
2022,臀,公共行政及國防；強制性社會安全,9
2022,臀,教育業,4
2022,臀,醫療保健及社會工作服務業,29
2022,臀,藝術、娛樂及休閒服務業,6
2022,臀,其他服務業,4
2022,鼠蹊,農、林、漁、牧業,0
2022,鼠蹊,礦業及土石採取業,0
2022,鼠蹊,製造業,7
2022,鼠蹊,食品及飼品製造業,1
2022,鼠蹊,飲料製造業,0
2022,鼠蹊,菸草製造業,0
2022,鼠蹊,紡織業,0
2022,鼠蹊,成衣及服飾品製造業,0
2022,鼠蹊,皮革、毛皮及其製品製造業,1
2022,鼠蹊,木竹製品製造業,0
2022,鼠蹊,紙漿、紙及紙製品製造業,0
2022,鼠蹊,印刷及資料儲存媒體複製業,0
2022,鼠蹊,石油及煤製品製造業,0
2022,鼠蹊,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,0
2022,鼠蹊,其他化學製品製造業,0
2022,鼠蹊,藥品及醫用化學製品製造業,1
2022,鼠蹊,橡膠製品製造業,0
2022,鼠蹊,塑膠製品製造業,0
2022,鼠蹊,非金屬礦物製品製造業,0
2022,鼠蹊,基本金屬製造業,1
2022,鼠蹊,金屬製品製造業,0
2022,鼠蹊,電子零組件製造業,1
2022,鼠蹊,電腦、電子產品及光學製品製造業,0
2022,鼠蹊,電力設備及配備製造業,0
2022,鼠蹊,機械設備製造業,0
2022,鼠蹊,汽車及其零件製造業,0
2022,鼠蹊,其他運輸工具及其零件製造業,0
2022,鼠蹊,家具製造業,0
2022,鼠蹊,其他製造業,2
2022,鼠蹊,產業用機械設備維修及安裝業,0
2022,鼠蹊,電力及燃氣供應業,0
2022,鼠蹊,用水供應及污染整治業,1
2022,鼠蹊,營建工程業,1
2022,鼠蹊,批發及零售業,2
2022,鼠蹊,運輸及倉儲業,1
2022,鼠蹊,住宿及餐飲業,1
2022,鼠蹊,出版、影音製作、傳播及資通訊服務業,0
2022,鼠蹊,金融及保險業,0
2022,鼠蹊,不動產業,0
2022,鼠蹊,專業、科學及技術服務業,0
2022,鼠蹊,支援服務業,1
2022,鼠蹊,公共行政及國防；強制性社會安全,0
2022,鼠蹊,教育業,0
2022,鼠蹊,醫療保健及社會工作服務業,0
2022,鼠蹊,藝術、娛樂及休閒服務業,0
2022,鼠蹊,其他服務業,0
2022,股,農、林、漁、牧業,1
2022,股,礦業及土石採取業,0
2022,股,製造業,44
2022,股,食品及飼品製造業,5
2022,股,飲料製造業,0
2022,股,菸草製造業,0
2022,股,紡織業,2
2022,股,成衣及服飾品製造業,0
2022,股,皮革、毛皮及其製品製造業,0
2022,股,木竹製品製造業,0
2022,股,紙漿、紙及紙製品製造業,1
2022,股,印刷及資料儲存媒體複製業,0
2022,股,石油及煤製品製造業,0
2022,股,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,0
2022,股,其他化學製品製造業,1
2022,股,藥品及醫用化學製品製造業,1
2022,股,橡膠製品製造業,0
2022,股,塑膠製品製造業,0
2022,股,非金屬礦物製品製造業,0
2022,股,基本金屬製造業,4
2022,股,金屬製品製造業,4
2022,股,電子零組件製造業,10
2022,股,電腦、電子產品及光學製品製造業,7
2022,股,電力設備及配備製造業,5
2022,股,機械設備製造業,3
2022,股,汽車及其零件製造業,0
2022,股,其他運輸工具及其零件製造業,1
2022,股,家具製造業,0
2022,股,其他製造業,0
2022,股,產業用機械設備維修及安裝業,0
2022,股,電力及燃氣供應業,1
2022,股,用水供應及污染整治業,3
2022,股,營建工程業,1
2022,股,批發及零售業,12
2022,股,運輸及倉儲業,21
2022,股,住宿及餐飲業,10
2022,股,出版、影音製作、傳播及資通訊服務業,1
2022,股,金融及保險業,3
2022,股,不動產業,2
2022,股,專業、科學及技術服務業,2
2022,股,支援服務業,8
2022,股,公共行政及國防；強制性社會安全,4
2022,股,教育業,3
2022,股,醫療保健及社會工作服務業,10
2022,股,藝術、娛樂及休閒服務業,1
2022,股,其他服務業,0
2022,膝,農、林、漁、牧業,4
2022,膝,礦業及土石採取業,0
2022,膝,製造業,318
2022,膝,食品及飼品製造業,26
2022,膝,飲料製造業,1
2022,膝,菸草製造業,0
2022,膝,紡織業,2
2022,膝,成衣及服飾品製造業,2
2022,膝,皮革、毛皮及其製品製造業,2
2022,膝,木竹製品製造業,3
2022,膝,紙漿、紙及紙製品製造業,1
2022,膝,印刷及資料儲存媒體複製業,5
2022,膝,石油及煤製品製造業,1
2022,膝,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,7
2022,膝,其他化學製品製造業,5
2022,膝,藥品及醫用化學製品製造業,4
2022,膝,橡膠製品製造業,3
2022,膝,塑膠製品製造業,14
2022,膝,非金屬礦物製品製造業,5
2022,膝,基本金屬製造業,6
2022,膝,金屬製品製造業,31
2022,膝,電子零組件製造業,93
2022,膝,電腦、電子產品及光學製品製造業,27
2022,膝,電力設備及配備製造業,16
2022,膝,機械設備製造業,22
2022,膝,汽車及其零件製造業,4
2022,膝,其他運輸工具及其零件製造業,26
2022,膝,家具製造業,1
2022,膝,其他製造業,9
2022,膝,產業用機械設備維修及安裝業,2
2022,膝,電力及燃氣供應業,2
2022,膝,用水供應及污染整治業,27
2022,膝,營建工程業,18
2022,膝,批發及零售業,121
2022,膝,運輸及倉儲業,196
2022,膝,住宿及餐飲業,78
2022,膝,出版、影音製作、傳播及資通訊服務業,13
2022,膝,金融及保險業,71
2022,膝,不動產業,25
2022,膝,專業、科學及技術服務業,22
2022,膝,支援服務業,55
2022,膝,公共行政及國防；強制性社會安全,53
2022,膝,教育業,12
2022,膝,醫療保健及社會工作服務業,95
2022,膝,藝術、娛樂及休閒服務業,22
2022,膝,其他服務業,13
2022,腿,農、林、漁、牧業,3
2022,腿,礦業及土石採取業,0
2022,腿,製造業,418
2022,腿,食品及飼品製造業,23
2022,腿,飲料製造業,1
2022,腿,菸草製造業,0
2022,腿,紡織業,9
2022,腿,成衣及服飾品製造業,4
2022,腿,皮革、毛皮及其製品製造業,2
2022,腿,木竹製品製造業,2
2022,腿,紙漿、紙及紙製品製造業,12
2022,腿,印刷及資料儲存媒體複製業,6
2022,腿,石油及煤製品製造業,0
2022,腿,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,10
2022,腿,其他化學製品製造業,5
2022,腿,藥品及醫用化學製品製造業,5
2022,腿,橡膠製品製造業,7
2022,腿,塑膠製品製造業,20
2022,腿,非金屬礦物製品製造業,15
2022,腿,基本金屬製造業,26
2022,腿,金屬製品製造業,56
2022,腿,電子零組件製造業,96
2022,腿,電腦、電子產品及光學製品製造業,29
2022,腿,電力設備及配備製造業,24
2022,腿,機械設備製造業,31
2022,腿,汽車及其零件製造業,2
2022,腿,其他運輸工具及其零件製造業,22
2022,腿,家具製造業,3
2022,腿,其他製造業,6
2022,腿,產業用機械設備維修及安裝業,2
2022,腿,電力及燃氣供應業,3
2022,腿,用水供應及污染整治業,30
2022,腿,營建工程業,52
2022,腿,批發及零售業,111
2022,腿,運輸及倉儲業,186
2022,腿,住宿及餐飲業,111
2022,腿,出版、影音製作、傳播及資通訊服務業,11
2022,腿,金融及保險業,51
2022,腿,不動產業,15
2022,腿,專業、科學及技術服務業,18
2022,腿,支援服務業,51
2022,腿,公共行政及國防；強制性社會安全,36
2022,腿,教育業,15
2022,腿,醫療保健及社會工作服務業,65
2022,腿,藝術、娛樂及休閒服務業,10
2022,腿,其他服務業,8
2022,足,農、林、漁、牧業,4
2022,足,礦業及土石採取業,0
2022,足,製造業,860
2022,足,食品及飼品製造業,76
2022,足,飲料製造業,6
2022,足,菸草製造業,0
2022,足,紡織業,33
2022,足,成衣及服飾品製造業,3
2022,足,皮革、毛皮及其製品製造業,1
2022,足,木竹製品製造業,1
2022,足,紙漿、紙及紙製品製造業,9
2022,足,印刷及資料儲存媒體複製業,6
2022,足,石油及煤製品製造業,0
2022,足,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,12
2022,足,其他化學製品製造業,9
2022,足,藥品及醫用化學製品製造業,14
2022,足,橡膠製品製造業,18
2022,足,塑膠製品製造業,51
2022,足,非金屬礦物製品製造業,24
2022,足,基本金屬製造業,38
2022,足,金屬製品製造業,126
2022,足,電子零組件製造業,207
2022,足,電腦、電子產品及光學製品製造業,71
2022,足,電力設備及配備製造業,27
2022,足,機械設備製造業,45
2022,足,汽車及其零件製造業,16
2022,足,其他運輸工具及其零件製造業,37
2022,足,家具製造業,5
2022,足,其他製造業,25
2022,足,產業用機械設備維修及安裝業,0
2022,足,電力及燃氣供應業,2
2022,足,用水供應及污染整治業,40
2022,足,營建工程業,54
2022,足,批發及零售業,258
2022,足,運輸及倉儲業,451
2022,足,住宿及餐飲業,229
2022,足,出版、影音製作、傳播及資通訊服務業,18
2022,足,金融及保險業,77
2022,足,不動產業,65
2022,足,專業、科學及技術服務業,51
2022,足,支援服務業,85
2022,足,公共行政及國防；強制性社會安全,82
2022,足,教育業,26
2022,足,醫療保健及社會工作服務業,155
2022,足,藝術、娛樂及休閒服務業,27
2022,足,其他服務業,7
2022,內臟,農、林、漁、牧業,0
2022,內臟,礦業及土石採取業,0
2022,內臟,製造業,18
2022,內臟,食品及飼品製造業,1
2022,內臟,飲料製造業,0
2022,內臟,菸草製造業,0
2022,內臟,紡織業,1
2022,內臟,成衣及服飾品製造業,0
2022,內臟,皮革、毛皮及其製品製造業,0
2022,內臟,木竹製品製造業,0
2022,內臟,紙漿、紙及紙製品製造業,0
2022,內臟,印刷及資料儲存媒體複製業,0
2022,內臟,石油及煤製品製造業,0
2022,內臟,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,0
2022,內臟,其他化學製品製造業,0
2022,內臟,藥品及醫用化學製品製造業,0
2022,內臟,橡膠製品製造業,0
2022,內臟,塑膠製品製造業,0
2022,內臟,非金屬礦物製品製造業,3
2022,內臟,基本金屬製造業,2
2022,內臟,金屬製品製造業,2
2022,內臟,電子零組件製造業,5
2022,內臟,電腦、電子產品及光學製品製造業,0
2022,內臟,電力設備及配備製造業,1
2022,內臟,機械設備製造業,1
2022,內臟,汽車及其零件製造業,0
2022,內臟,其他運輸工具及其零件製造業,0
2022,內臟,家具製造業,0
2022,內臟,其他製造業,0
2022,內臟,產業用機械設備維修及安裝業,2
2022,內臟,電力及燃氣供應業,0
2022,內臟,用水供應及污染整治業,0
2022,內臟,營建工程業,1
2022,內臟,批發及零售業,5
2022,內臟,運輸及倉儲業,3
2022,內臟,住宿及餐飲業,2
2022,內臟,出版、影音製作、傳播及資通訊服務業,2
2022,內臟,金融及保險業,1
2022,內臟,不動產業,0
2022,內臟,專業、科學及技術服務業,0
2022,內臟,支援服務業,6
2022,內臟,公共行政及國防；強制性社會安全,0
2022,內臟,教育業,1
2022,內臟,醫療保健及社會工作服務業,2
2022,內臟,藝術、娛樂及休閒服務業,0
2022,內臟,其他服務業,1
2022,全身,農、林、漁、牧業,0
2022,全身,礦業及土石採取業,0
2022,全身,製造業,37
2022,全身,食品及飼品製造業,2
2022,全身,飲料製造業,0
2022,全身,菸草製造業,0
2022,全身,紡織業,1
2022,全身,成衣及服飾品製造業,0
2022,全身,皮革、毛皮及其製品製造業,0
2022,全身,木竹製品製造業,0
2022,全身,紙漿、紙及紙製品製造業,0
2022,全身,印刷及資料儲存媒體複製業,0
2022,全身,石油及煤製品製造業,0
2022,全身,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,1
2022,全身,其他化學製品製造業,0
2022,全身,藥品及醫用化學製品製造業,0
2022,全身,橡膠製品製造業,0
2022,全身,塑膠製品製造業,3
2022,全身,非金屬礦物製品製造業,0
2022,全身,基本金屬製造業,15
2022,全身,金屬製品製造業,1
2022,全身,電子零組件製造業,6
2022,全身,電腦、電子產品及光學製品製造業,1
2022,全身,電力設備及配備製造業,1
2022,全身,機械設備製造業,5
2022,全身,汽車及其零件製造業,1
2022,全身,其他運輸工具及其零件製造業,0
2022,全身,家具製造業,0
2022,全身,其他製造業,0
2022,全身,產業用機械設備維修及安裝業,0
2022,全身,電力及燃氣供應業,0
2022,全身,用水供應及污染整治業,4
2022,全身,營建工程業,1
2022,全身,批發及零售業,3
2022,全身,運輸及倉儲業,20
2022,全身,住宿及餐飲業,1
2022,全身,出版、影音製作、傳播及資通訊服務業,1
2022,全身,金融及保險業,0
2022,全身,不動產業,3
2022,全身,專業、科學及技術服務業,0
2022,全身,支援服務業,12
2022,全身,公共行政及國防；強制性社會安全,3
2022,全身,教育業,1
2022,全身,醫療保健及社會工作服務業,5
2022,全身,藝術、娛樂及休閒服務業,2
2022,全身,其他服務業,0
2022,其他,農、林、漁、牧業,3
2022,其他,礦業及土石採取業,0
2022,其他,製造業,343
2022,其他,食品及飼品製造業,16
2022,其他,飲料製造業,2
2022,其他,菸草製造業,0
2022,其他,紡織業,17
2022,其他,成衣及服飾品製造業,0
2022,其他,皮革、毛皮及其製品製造業,1
2022,其他,木竹製品製造業,3
2022,其他,紙漿、紙及紙製品製造業,11
2022,其他,印刷及資料儲存媒體複製業,1
2022,其他,石油及煤製品製造業,1
2022,其他,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,3
2022,其他,其他化學製品製造業,11
2022,其他,藥品及醫用化學製品製造業,12
2022,其他,橡膠製品製造業,2
2022,其他,塑膠製品製造業,10
2022,其他,非金屬礦物製品製造業,8
2022,其他,基本金屬製造業,17
2022,其他,金屬製品製造業,35
2022,其他,電子零組件製造業,100
2022,其他,電腦、電子產品及光學製品製造業,19
2022,其他,電力設備及配備製造業,11
2022,其他,機械設備製造業,30
2022,其他,汽車及其零件製造業,8
2022,其他,其他運輸工具及其零件製造業,12
2022,其他,家具製造業,1
2022,其他,其他製造業,11
2022,其他,產業用機械設備維修及安裝業,1
2022,其他,電力及燃氣供應業,1
2022,其他,用水供應及污染整治業,25
2022,其他,營建工程業,17
2022,其他,批發及零售業,94
2022,其他,運輸及倉儲業,78
2022,其他,住宿及餐飲業,65
2022,其他,出版、影音製作、傳播及資通訊服務業,10
2022,其他,金融及保險業,16
2022,其他,不動產業,14
2022,其他,專業、科學及技術服務業,13
2022,其他,支援服務業,35
2022,其他,公共行政及國防；強制性社會安全,26
2022,其他,教育業,9
2022,其他,醫療保健及社會工作服務業,47
2022,其他,藝術、娛樂及休閒服務業,8
2022,其他,其他服務業,4
