年度,受傷部位,行業別,受傷部位次數
2022,肩,飲料製造業,0
2022,肩,菸草製造業,0
2022,肩,紡織業,4
2022,肩,成衣及服飾品製造業,0
2022,肩,皮革、毛皮及其製品製造業,2
2022,肩,木竹製品製造業,2
2022,肩,紙漿、紙及紙製品製造業,1
2022,肩,印刷及資料儲存媒體複製業,0
2022,肩,石油及煤製品製造業,0
2022,肩,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,3
2022,肩,其他化學製品製造業,2
2022,肩,藥品及醫用化學製品製造業,4
2022,肩,橡膠製品製造業,2
2022,肩,塑膠製品製造業,5
2022,肩,非金屬礦物製品製造業,6
2022,肩,基本金屬製造業,7
2022,肩,金屬製品製造業,24
2022,肩,電子零組件製造業,28
2022,肩,電腦、電子產品及光學製品製造業,7
2022,肩,電力設備及配備製造業,8
2022,肩,機械設備製造業,8
2022,肩,汽車及其零件製造業,6
2022,肩,其他運輸工具及其零件製造業,10
2022,肩,家具製造業,0
2022,肩,其他製造業,9
2022,肩,產業用機械設備維修及安裝業,0
2022,肩,電力及燃氣供應業,2
2022,肩,用水供應及污染整治業,9
2022,肩,營建工程業,6
2022,肩,批發及零售業,43
2022,肩,運輸及倉儲業,67
2022,肩,住宿及餐飲業,32
2022,肩,出版、影音製作、傳播及資通訊服務業,9
2022,肩,金融及保險業,17
2022,肩,不動產業,11
2022,肩,專業、科學及技術服務業,9
2022,肩,支援服務業,27
2022,肩,公共行政及國防；強制性社會安全,25
2022,肩,教育業,4
2022,肩,醫療保健及社會工作服務業,51
2022,肩,藝術、娛樂及休閒服務業,2
2022,肩,其他服務業,5
2022,鎖骨,農、林、漁、牧業,1
2022,鎖骨,礦業及土石採取業,0
2022,鎖骨,製造業,32
2022,鎖骨,食品及飼品製造業,2
2022,鎖骨,飲料製造業,0
2022,鎖骨,菸草製造業,0
2022,鎖骨,紡織業,0
2022,鎖骨,成衣及服飾品製造業,0
2022,鎖骨,皮革、毛皮及其製品製造業,0
2022,鎖骨,木竹製品製造業,1
2022,鎖骨,紙漿、紙及紙製品製造業,1
2022,鎖骨,印刷及資料儲存媒體複製業,1
2022,鎖骨,石油及煤製品製造業,0
2022,鎖骨,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,1
2022,鎖骨,其他化學製品製造業,1
2022,鎖骨,藥品及醫用化學製品製造業,0
2022,鎖骨,橡膠製品製造業,0
2022,鎖骨,塑膠製品製造業,0
2022,鎖骨,非金屬礦物製品製造業,2
2022,鎖骨,基本金屬製造業,2
2022,鎖骨,金屬製品製造業,6
2022,鎖骨,電子零組件製造業,6
2022,鎖骨,電腦、電子產品及光學製品製造業,1
2022,鎖骨,電力設備及配備製造業,1
2022,鎖骨,機械設備製造業,5
2022,鎖骨,汽車及其零件製造業,1
2022,鎖骨,其他運輸工具及其零件製造業,0
2022,鎖骨,家具製造業,0
2022,鎖骨,其他製造業,1
2022,鎖骨,產業用機械設備維修及安裝業,0
2022,鎖骨,電力及燃氣供應業,1
2022,鎖骨,用水供應及污染整治業,4
2022,鎖骨,營建工程業,5
2022,鎖骨,批發及零售業,7
2022,鎖骨,運輸及倉儲業,12
2022,鎖骨,住宿及餐飲業,6
2022,鎖骨,出版、影音製作、傳播及資通訊服務業,4
2022,鎖骨,金融及保險業,2
2022,鎖骨,不動產業,3
2022,鎖骨,專業、科學及技術服務業,4
2022,鎖骨,支援服務業,8
2022,鎖骨,公共行政及國防；強制性社會安全,5
2022,鎖骨,教育業,1
2022,鎖骨,醫療保健及社會工作服務業,11
2022,鎖骨,藝術、娛樂及休閒服務業,0
2022,鎖骨,其他服務業,0
2022,上膊,農、林、漁、牧業,0
2022,上膊,礦業及土石採取業,0
2022,上膊,製造業,73
2022,上膊,食品及飼品製造業,8
2022,上膊,飲料製造業,1
2022,上膊,菸草製造業,0
2022,上膊,紡織業,3
2022,上膊,成衣及服飾品製造業,0
2022,上膊,皮革、毛皮及其製品製造業,0
2022,上膊,木竹製品製造業,0
2022,上膊,紙漿、紙及紙製品製造業,0
2022,上膊,印刷及資料儲存媒體複製業,0
2022,上膊,石油及煤製品製造業,0
2022,上膊,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,3
2022,上膊,其他化學製品製造業,0
2022,上膊,藥品及醫用化學製品製造業,1
2022,上膊,橡膠製品製造業,1
2022,上膊,塑膠製品製造業,9
2022,上膊,非金屬礦物製品製造業,2
2022,上膊,基本金屬製造業,9
2022,上膊,金屬製品製造業,2
2022,上膊,電子零組件製造業,11
2022,上膊,電腦、電子產品及光學製品製造業,5
2022,上膊,電力設備及配備製造業,1
2022,上膊,機械設備製造業,9
2022,上膊,汽車及其零件製造業,0
2022,上膊,其他運輸工具及其零件製造業,3
2022,上膊,家具製造業,0
2022,上膊,其他製造業,4
2022,上膊,產業用機械設備維修及安裝業,1
2022,上膊,電力及燃氣供應業,1
2022,上膊,用水供應及污染整治業,1
2022,上膊,營建工程業,7
2022,上膊,批發及零售業,12
2022,上膊,運輸及倉儲業,14
2022,上膊,住宿及餐飲業,16
2022,上膊,出版、影音製作、傳播及資通訊服務業,4
2022,上膊,金融及保險業,6
2022,上膊,不動產業,4
2022,上膊,專業、科學及技術服務業,3
2022,上膊,支援服務業,6
2022,上膊,公共行政及國防；強制性社會安全,4
2022,上膊,教育業,2
2022,上膊,醫療保健及社會工作服務業,4
2022,上膊,藝術、娛樂及休閒服務業,2
2022,上膊,其他服務業,0
2022,肘,農、林、漁、牧業,4
2022,肘,礦業及土石採取業,3
2022,肘,製造業,185
2022,肘,食品及飼品製造業,17
2022,肘,飲料製造業,0
2022,肘,菸草製造業,0
2022,肘,紡織業,5
2022,肘,成衣及服飾品製造業,2
2022,肘,皮革、毛皮及其製品製造業,1
2022,肘,木竹製品製造業,0
2022,肘,紙漿、紙及紙製品製造業,5
2022,肘,印刷及資料儲存媒體複製業,4
2022,肘,石油及煤製品製造業,0
2022,肘,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,9
2022,肘,其他化學製品製造業,2
2022,肘,藥品及醫用化學製品製造業,3
2022,肘,橡膠製品製造業,3
2022,肘,塑膠製品製造業,5
2022,肘,非金屬礦物製品製造業,5
2022,肘,基本金屬製造業,7
2022,肘,金屬製品製造業,25
2022,肘,電子零組件製造業,41
2022,肘,電腦、電子產品及光學製品製造業,12
2022,肘,電力設備及配備製造業,8
2022,肘,機械設備製造業,12
2022,肘,汽車及其零件製造業,4
2022,肘,其他運輸工具及其零件製造業,6
2022,肘,家具製造業,2
2022,肘,其他製造業,7
2022,肘,產業用機械設備維修及安裝業,0
2022,肘,電力及燃氣供應業,1
2022,肘,用水供應及污染整治業,13
2022,肘,營建工程業,13
2022,肘,批發及零售業,77
2022,肘,運輸及倉儲業,83
2022,肘,住宿及餐飲業,53
2022,肘,出版、影音製作、傳播及資通訊服務業,12
2022,肘,金融及保險業,18
2022,肘,不動產業,9
2022,肘,專業、科學及技術服務業,9
2022,肘,支援服務業,29
2022,肘,公共行政及國防；強制性社會安全,23
2022,肘,教育業,5
2022,肘,醫療保健及社會工作服務業,34
2022,肘,藝術、娛樂及休閒服務業,6
2022,肘,其他服務業,5
2022,前膊,農、林、漁、牧業,0
2022,前膊,礦業及土石採取業,0
2022,前膊,製造業,80
2022,前膊,食品及飼品製造業,2
2022,前膊,飲料製造業,0
2022,前膊,菸草製造業,0
2022,前膊,紡織業,6
2022,前膊,成衣及服飾品製造業,0
2022,前膊,皮革、毛皮及其製品製造業,1
2022,前膊,木竹製品製造業,0
2022,前膊,紙漿、紙及紙製品製造業,0
2022,前膊,印刷及資料儲存媒體複製業,0
