"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"93606165","睡飽吃企業有限公司","新北市三重區新北大道1段129號4樓","10000"," "," ","1130311","新北市三重區光陽里０３０鄰新北大道１段１２９號４樓","487199,487115,,","26-MAR-26","","","","",""
"93606377","優玥國際有限公司","新北市永和區中和路343號8樓之2","500000"," "," ","1130312","新北市永和區雙和里中和路３４３號８樓之２","487199,,,","26-MAR-26","","","","",""
"93606545","兆軒生技有限公司","新北市泰山區義東街10號7樓","10000000"," "," ","1130217","新北市泰山區義仁里義東街１０號７樓","457113,,,","26-MAR-26","","","","",""
"93609228","宇祥盛股份有限公司","新北市中和區連城路134巷18號3樓","27500000","27500000"," ","1130314","新北市中和區連和里連城路１３４巷１８號３樓","649911,,,","26-MAR-26","","","","",""
"93609579","富新益物流有限公司","新北市土城區中正路67巷9號","6000000"," "," ","1130314","新北市土城區員林里中正路６７巷９號","820914,,,","26-MAR-26","","","","",""
"93611694","立鴻通運有限公司","新北市新莊區萬安街127巷20號4樓","1000000"," "," ","1130319","新北市新莊區萬安街１２７巷２０號４樓","530100,,,","26-MAR-26","","","","",""
"93611701","金蜜蜂國際物流有限公司","新北市蘆洲區中山一路161號3樓","20000"," "," ","1130319","新北市蘆洲區溪墘里中山一路１６１號３樓","487111,,,","26-MAR-26","","","","",""
"93611717","金錢豹科技有限公司","新北市蘆洲區中山一路161號3樓","20000"," "," ","1130319","新北市蘆洲區溪墘里中山一路１６１號３樓","456212,,,","26-MAR-26","","","","",""
"93615988","桓鴻實業有限公司","新北市新店區中正路424號11樓","500000"," "," ","1130325","新北市新店區百和里中正路４２４號１１樓","462099,462017,,","26-MAR-26","","","","",""
"93618161","瑋瑋國際有限公司","新北市深坑區文化街66號2樓","1000000"," "," ","1130410","新北市深坑區埔新里文化街６６號２樓","484112,,,","26-MAR-26","","","","",""
"93618958","儀通企業有限公司","新北市三峽區復興路101巷1弄8號","3000000"," "," ","1130403","新北市三峽區復興路１０１巷１弄８號","711299,,,","26-MAR-26","","","","",""
"93619289","晶強和牛貿易股份有限公司","新北市新莊區中華路3段216號13樓","100000000","5000000"," ","1130408","新北市新莊區中華路３段２１６號１３樓","472211,,,","26-MAR-26","","","","",""
"93619339","鴻晨國際有限公司","新北市淡水區淡海路206巷19號5樓","100000"," "," ","1130408","新北市淡水區淡海路２０６巷１９號５樓","959999,,,","26-MAR-26","","","","",""
"93619942","旭瑞環境事業有限公司","新北市新莊區中華路2段9號6樓","1000000"," "," ","1130409","新北市新莊區中華里中華路２段９號６樓","812100,,,","26-MAR-26","","","","",""
"93621497","陽氫能源有限公司","新北市新莊區新泰路303號地下1樓","9815000"," "," ","1130117","新北市新莊區立泰里新泰路３０３號地下１樓","353011,433212,,","26-MAR-26","","","","",""
"93621659","旅車居工坊股份有限公司","新北市新莊區建福路3號","1000000","1000000"," ","1130118","新北市新莊區福營里建福路３號","465311,,,","26-MAR-26","","","","",""
"93621692","開創者物業管理顧問股份有限公司","新北市板橋區華江一路592號","1000000","1000000"," ","1130118","新北市板橋區溪頭里華江一路５９２號","434011,681111,812100,","26-MAR-26","","","","",""
"93621829","新將通運有限公司","新北市新莊區幸福路828號8樓之2","25000000"," "," ","1130118","新北市新莊區中平里幸福路８２８號８樓之２","494099,,,","26-MAR-26","","","","",""
"93623185","釿浥投資有限公司","新北市永和區中正路588號7樓之18","100000"," "," ","1130122","新北市永和區福和里中正路５８８號七樓之１８","465111,465311,464999,","26-MAR-26","","","","",""
"93623360","銘美冷凍冷藏股份有限公司","新北市土城區明德路2段118號","500000","500000"," ","1130122","新北市土城區日和里明德路２段１１８號","454999,,,","26-MAR-26","","","","",""
