"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"16151427","統一資訊股份有限公司","臺北市信義區忠孝東路4段560號12樓","300000000","299005500"," ","0860827","臺北市信義區興隆里忠孝東路四段５６０號１２樓","464111,631299,620900,","26-MAR-26","","","","線上調查網,I QUESTION,PIC,","2024-11-27"
"16152517","旭峰國際有限公司","臺北市中山區建國北路2段3巷37號2樓","12000000"," "," ","0860830","臺北市中山區復華里建國北路２段３巷３７號２樓","524999,451099,523300,","26-MAR-26","","","","",""
"16153305","大漢通運有限公司","臺北市中山區松江路133巷50號3樓之4","30000000"," "," ","0860902","臺北市中山區中央里松江路１３３巷５０號３樓之４","493912,,,","26-MAR-26","","","","",""
"16153473","廣承泰交通事業股份有限公司","臺北市北投區東陽街425號2樓","35000000","35000000"," ","0860903","臺北市北投區裕民里東陽街４２５號２樓","493912,465311,484311,","26-MAR-26","","","","",""
"16155628","創傑國際股份有限公司","臺北市南港區忠孝東路7段508號3樓之3","300000000","50400000"," ","0860909","臺北市南港區中南里忠孝東路七段５０８號三樓之３","464111,451099,464112,639099","26-MAR-26","","","","愛酷鴨,艾酷鴨,鴨軸,DUCKY,ZER,ONE,RTX,達魔鴨,PROJECT D,","2024-11-27"
"16156730","迅通航空貨運承攬股份有限公司","臺北市中山區南京東路2段50號10樓","5000000","5000000"," ","0860913","臺北市中山區興亞里南京東路２段５０號１０樓","523300,521000,,","26-MAR-26","","","","",""
"16156865","巨豐旅館管理顧問股份有限公司","臺北市中山區樂群二路267號10樓","200000000","130500000"," ","0860912","臺北市中山區金泰里樂群二路２６７號１０樓","681211,681212,,","26-MAR-26","","","","",""
"16157908","一山遊覽車客運有限公司","臺北市文山區景興路21號3樓","45000000"," "," ","0860917","臺北市文山區興福里景興路２１號３樓","493912,,,","26-MAR-26","","","","",""
"16158857","富邦公寓大廈管理維護股份有限公司","臺北市信義區菸廠路88號7樓及7樓之1","45000000","44993520"," ","0860919","臺北市信義區新仁里菸廠路８８號７樓及７樓之１","702099,811000,681112,","26-MAR-26","","","","",""
"16159743","合發物流有限公司","臺北市中山區民族東路520號","33500000"," "," ","0860923","臺北市中山區下埤里民族東路５２０號","494099,,,","26-MAR-26","","","","",""
"16160349","中國遠洋企業股份有限公司","臺北市中山區民生東路3段2號3樓","10000000","10000000"," ","0860926","臺北市中山區朱馥里民生東路３段２號３樓","522000,,,","26-MAR-26","","","","",""
"16161558","瑞鴻運通有限公司","臺北市松山區復興北路325號5樓","5000000"," "," ","0860926","臺北市松山區民有里復興北路３２５號５樓","523300,,,","26-MAR-26","","","","",""
"16161564","昶捷物流股份有限公司","臺北市士林區德行東路266巷8號2樓","60000000","60000000"," ","0860927","臺北市士林區芝山里德行東路２６６巷８號２樓","494099,530100,,","26-MAR-26","","","","昶捷物流,CHANG JIEH LOGISTICS CORP.,","2024-11-27"
"16161683","玉佛山禮儀有限公司","臺北市中山區民權東路2段123號1樓","4000000"," "," ","0860926","臺北市中山區行政里民權東路２段１２３號１樓","963015,782000,,","26-MAR-26","","","","","2024-11-27"
"16165695","溫得利通運事業有限公司","臺北市中正區莒光路109號","30000000"," "," ","0861009","臺北市中正區廈安里莒光路１０９號","493912,465311,,","26-MAR-26","","","","",""
"16166266","弘盛開發股份有限公司","臺北市北投區中央北路4段532號1、2樓","35000000","35000000"," ","0861013","臺北市北投區一德里中央北路４段５３２號１樓","561115,471916,670012,524100","26-MAR-26","","","","",""
"16167363","會心實業有限公司","臺北市內湖區民權東路6段180巷6號10樓","7000000"," "," ","0861015","臺北市內湖區寶湖里民權東路６段１８０巷６號１０樓","702012,681112,,","26-MAR-26","","","","",""
"16170304","世清股份有限公司","臺北市文山區指南路2段62號","25200000","25200000"," ","0861022","臺北市文山區萬興里指南路２段６２號","932999,931299,859399,","26-MAR-26","","","","",""
"16171958","紫陽開發股份有限公司","臺北市內湖區文德路210巷34號1樓","60000000","60000000"," ","0861028","臺北市內湖區紫陽里文德路２１０巷３４號１樓","681112,524100,,","26-MAR-26","","","","",""
"16172197","明洲工程顧問有限公司","臺北市中山區民生東路1段42號10樓之10","1000000"," "," ","0861028","臺北市中山區民生東路１段４２號１０樓之１０","711299,,,","26-MAR-26","","","","",""
"16172485","萬事達國際聯運有限公司","臺北市中山區市民大道3段209號5樓","12500000"," "," ","0861028","臺北市中山區埤頭里市民大道３段２０９號５樓","523300,521000,,","26-MAR-26","","","","中通速递,ZTO ZTO EXPRESS,","2024-11-27"
