"統一編號","公司名稱","公司地址","資本總額","實收資本額","在境內營運資金","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"28453377","華楷光電通訊股份有限公司","新北市中和區中正路880號9樓之5","40000000","40000000"," ","0951205","新北市中和區中原里中正路８８０號９樓之５","464299,631299,639099,433199","26-MAR-26","","","","",""
"28489678","碩成電能股份有限公司","新北市新店區寶橋路235巷135號7樓之2、7樓之3、137號7樓、7樓之1","600000000","192597880"," ","0960424","新北市新店區寶福里寶橋路２３５巷１３５號７樓之２、７樓之３、１３７號７樓、７樓之１","464320,464111,464922,451099","26-MAR-26","","","","",""
"28529313","業翰室內裝修有限公司","新北市新店區寶興路45巷6弄5號3樓","15000000"," "," ","0951129","新北市新店區寶福里寶興路４５巷６弄５號３樓","434011,252299,,","26-MAR-26","","","","",""
"28534202","新展嘉企業有限公司","新北市中和區中山路2段296號12樓之4","16000000"," "," ","0951205","新北市中和區福真里中山路２段２９６號１２樓之４","464913,456199,,","26-MAR-26","","","","",""
"28542131","匯豐銀聯國際股份有限公司","新北市中和區景平路59之15號","150000000","150000000"," ","0951218","新北市中和區秀峰里景平路５９－１５號","670012,011999,,","26-MAR-26","","","","",""
"28568547","宏頂電氣工程有限公司","新北市樹林區備內街1巷12號11樓","67000000"," "," ","0960125","新北市樹林區坡內里備內街１巷１２號１１樓","433111,,,","26-MAR-26","","","","",""
"28569665","原勵科技股份有限公司","新北市淡水區中山北路3段114號","20000000","20000000"," ","0960129","新北市淡水區埤島里中山北路３段１１４號","140199,,,","26-MAR-26","","","","YUAN LI,","2024-11-27"
"28570142","鎧新實業有限公司","新北市土城區明德路1段196巷3號(1樓)","2000000"," "," ","0960129","新北市土城區清水里明德路一段１９６巷３號（１樓）","433212,434013,,","26-MAR-26","","","","",""
"28570641","宅適統合工程有限公司","新北市淡水區民權路187巷29號1樓","1000000"," "," ","0960130","新北市淡水區民權里民權路１８７巷２９號１樓","429099,,,","26-MAR-26","","","","",""
"28571418","誠達資訊有限公司","新北市中和區民生街35巷1弄12號","1000000"," "," ","0960130","新北市中和區德穗里民生街３５巷１弄１２號","433112,631299,433199,","26-MAR-26","","","","",""
"28574371","皇冠科技工程有限公司","新北市板橋區文化路1段387巷9號(1樓)","30000000"," "," ","0960205","新北市板橋區新埔里文化路１段３８７巷９號１樓","422015,353011,,","26-MAR-26","","","","CROWN TECH,","2024-11-27"
"28581176","安舒科技有限公司","新北市三重區大同北路46號1樓","1010000"," "," ","0960214","新北市三重區中山里大同北路４６號１樓","461515,464999,,","26-MAR-26","","","","",""
"28583673","銘樸實業有限公司","新北市永和區保生路22巷14號","1000000"," "," ","0960216","新北市永和區保安里保生路２２巷１４號","462099,,,","26-MAR-26","","","","",""
"28587087","薪電電氣工程有限公司","新北市中和區景平路618巷5號","2000000"," "," ","0960303","新北市中和區新南里景平路６１８巷５號（１樓）","433199,456199,,","26-MAR-26","","","","",""
"28588071","成朔企業有限公司","新北市三重區重新路5段609巷4號9樓之6","10000000"," "," ","0960306","新北市三重區重新路５段６０９巷４號９樓之６","464918,464211,433115,433212","26-MAR-26","","","","",""
"28620847","威宇精密股份有限公司","新北市樹林區學成路481號10樓","20000000","20000000"," ","0960312","新北市樹林區柑園里學成路４８１號１０樓","259999,,,","26-MAR-26","","","","",""
"28635481","聖諄實業有限公司","新北市林口區工四路40號","23700000"," "," ","0960403","新北市林口區東林里工四路４０號","254911,464918,461515,451099","26-MAR-26","","","","",""
"28650715","諾亞聯合科技股份有限公司","新北市三峽區學成路313號3樓之9","42000000","42000000"," ","0960424","新北市三峽區龍學里學成路３１３號３樓之９","269911,271999,451099,","26-MAR-26","","","","",""
"28665371","三立通科技股份有限公司","新北市中和區中山路2段269號7樓","15000000","15000000"," ","0960515","新北市中和區連和里中山路２段２６９號７樓","340015,340099,,","26-MAR-26","","","","",""
"28669411","軒登企業有限公司","新北市土城區中央路3段142號12樓","6000000"," "," ","0960522","新北市土城區永寧里中央路３段１４２號１２樓","681112,353011,551012,","26-MAR-26","","","","",""
"28702262","璽舍國際有限公司","新北市汐止區康寧街61巷24號","5000000"," "," ","0960815","新北市汐止區北山里康寧街６１巷２４號","434011,434013,457299,454811","26-MAR-26","","","","天然香草農場,亞莉蓓化妝品,LILY GARDEN,HUKU BEAUTY,ASPASIA,莉莉花園香氛世家,COSMETICS ELEGANTETBELLE,福咕美妝,艾絲貝西亞,VANILLA FARM,","2024-11-27"
"28717693","真美晶能源股份有限公司","新北市汐止區新台五路1段75號13樓之2","600000000","301680000"," ","0961012","新北市汐止區復興里新台五路一段７５號十三樓之２","433112,,,","26-MAR-26","","","","真美晶能源,ACCUSOLARPOWER,","2024-11-27"
"28724147","鍠家工程企業有限公司","新北市淡水區北新路141巷25號","5000000"," "," ","0960528","新北市淡水區北新路１４１巷２５號","434099,,,","26-MAR-26","","","","",""
"28739155","萬凱科技股份有限公司","新北市土城區金城路3段48之1號12樓","5000000","5000000"," ","0960621","新北市土城區金城里金城路三段４８─１號１２樓","952100,434011,433212,481014","26-MAR-26","","","","",""
"28770367","萬金休憩股份有限公司","新北市萬里區萬里加投45之1號","480000000","45000000"," ","0960806","新北市萬里區大鵬里萬里加投４５─１號","932999,353012,,","26-MAR-26","","","","","2024-11-27"
"28788296","禾田事業股份有限公司","新北市土城區學府路1段98巷2弄13號8樓","10000000","10000000"," ","0960904","新北市土城區廣興里學府路１段９８巷２弄１３號８樓","456199,,,","26-MAR-26","","","","",""
"28789844","永基新能源股份有限公司","新北市永和區信義路17巷10號","100000000","30000000"," ","0960905","新北市永和區信義里信義路１７巷１０號","464211,292999,271999,433115","26-MAR-26","","","","",""
"28800600","欣泰倫實業有限公司","新北市三重區重新路5段609巷4號9樓之6","5000000"," "," ","0960928","新北市三重區重新路５段６０９巷４號９樓之６","434013,434011,464211,","26-MAR-26","","","","",""
"28800783","三井能源股份有限公司","新北市林口區嘉寶里嘉溪雅坑3之2號","29000000","29000000"," ","0960928","新北市林口區嘉寶里１鄰嘉溪雅坑３之２號","253911,293311,259999,383011","26-MAR-26","","","","",""
"28826279","皓昱科技有限公司","新北市蘆洲區三民路26巷36號12樓","4300000"," "," ","0961120","新北市蘆洲區恆德里三民路２６巷３６號１２樓","292999,429099,620900,","26-MAR-26","","","","",""
"28832096","丰光永續發展有限公司","新北市新莊區中正路708之15號8樓","6000000"," "," ","0961212","新北市新莊區雙鳳里中正路７０８之１５號８樓","454400,160312,457299,487199","26-MAR-26","","","","",""
"28853319","艾美克股份有限公司","新北市汐止區工建路368號","5000000","5000000"," ","0970320","新北市汐止區樟樹里工建路３６８號","456116,,,","26-MAR-26","","","","",""
"28863196","瑞濤國際股份有限公司","新北市新莊區思源路601號13樓","10000000","10000000"," ","0970423","新北市新莊區昌平里思源路６０１號１３樓","464211,464999,433112,464920","26-MAR-26","","","","CENIX,LADY Q,","2024-11-27"
"28872049","瑞德盛工程有限公司","新北市中和區建八路127號","15000000"," "," ","0961102","新北市中和區碧河里建八路１２７號","433111,433212,760999,","26-MAR-26","","","","",""
"28886677","德威光電股份有限公司","新北市中和區橋和路120號5樓之1、2","300000000","165000000"," ","0961128","新北市中和區中原里橋和路１２０號５樓之１、２","464112,639099,702099,","26-MAR-26","","","","",""
"28898553","豪億鐵網有限公司","新北市八里區商港一路96號3樓","5000000"," "," ","0961218","新北市八里區商港一路９６號３樓","241400,259212,249999,469925","26-MAR-26","","","","豪億,","2024-11-27"
