編號,公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反性別平等工作法（修正前為性別工作平等法，下同）條款,違反法規內容,罰鍰金額,備註
127,1091204,1091016,北市勞就字第10960457441號,銳耳創作股份有限公司,陳柏良,性別工作平等法第13條第1項及第2項,未訂定性騷擾防治措施、申訴及懲戒辦法，並在工作場所公開揭示；雇主未盡工作場所性騷擾防治義務,,訴願駁回(原處分維持)
128,1091105,1090901,北市勞就字第10960311921號,台灣昭和電工貿易股份有限公司,蔡友傑,性別工作平等法第7條及第9條,性別歧視,,行政訴訟撤回（原處分維持）
129,1091005,1090820,北市勞就字第10960107861號,中碩貿易有限公司,鄭建隆,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,
130,1091005,1090827,北市勞就字第10960119111號,元家企業股份有限公司,顏元博,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,審議駁回(原處分維持)
131,1090904,1090701,北市勞就字第10960008791號,南陽實業股份有限公司,吳清源,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,審議駁回(原處分維持)
132,1090904,1090702,北市勞就字第10861185581號,義美吉盛股份有限公司,高志明,性別工作平等法第7條及第21條第2項,性別歧視、申請產假遭不利處分,,訴願駁回(原處分維持)
133,1090805,1090624,北市勞就字第10861150651號,好棒棒創意股份有限公司,張景賀,性別工作平等法第13條第2項及第36條,雇主未盡工作場所性騷擾防治義務，且因受僱者提出性別工作平等法申訴而予以不利處分,,審議駁回(原處分維持)
134,1090805,1090622,北市勞就字第10960308203號,鼎恒有限公司,林耕山,性別工作平等法第21條第2項,申請生理假遭不利處分,,
135,1090805,1090623,北市勞就字第10960078811號,集邦科技股份有限公司,劉炯朗,性別工作平等法第21條第2項,申請產假遭不利處分,,行政訴訟撤回（原處分維持）
136,1090703,1090505,北市勞就字第10861012941號,神坊資訊股份有限公司,張家生,性別工作平等法第13條第2項,雇主未盡工作場所性騷擾防治義務,,審議駁回(原處分維持)
