項次,業者名稱(市招),業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註,違反之食安法條及相關法_標準化,危害等級,危害判斷依據
151331,林○玫,新北市中和區,桑椹,111/3/30,農藥(克福隆),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
16447,林○良,新北市鶯歌區,秀珍菇,114/8/8,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
87574,林○辰,臺北市萬華區,茄子,112/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
87652,林○辰,臺北市萬華區,大根野菜(白蘿蔔),112/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
176229,林○進,臺北市萬華區,台灣豌豆莢,110/10/29,農藥(撲克拉、氟比來),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
212831,林○長,新北市新莊區,包心白菜,109/12/30,農藥(百利普芬、因滅汀),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
129439,林○香,臺北市萬華區,白蘿蔔,111/10/3,農藥(可尼丁),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
40665,林王O花,新北市泰山區,台灣蚵,114/1/7,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
119231,梁O成獸肉號,臺北市中山區,豬里肌肉,112/5/17,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
107740,楊O勝,新北市新莊區,豬肉(台灣豬),112/7/25,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
107741,楊O勝,新北市新莊區,豬肉(台灣豬),112/7/25,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
16542,楊○漢,新北市永和區,絲瓜,114/6/27,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
87610,楊○漢(市招-3378連○琴),臺北市萬華區,三星青蔥,112/11/2,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
132508,楊○祥,臺北市大同區,蘋果,111/9/6,農藥(2，6-DIPN),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
129705,歪歪賣水果,臺北市信義區歪歪賣水果,日本空運-桃色棉莓,112/1/31,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
129706,歪歪賣水果,臺北市信義區歪歪賣水果,日本空運-福岡草莓,112/1/31,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
171425,江O民,臺北市萬華區,鴨蛋,111/3/3,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
133286,江O華,臺北市中山區,阿德雞蛋紅殼蛋,111/11/1,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
87582,江○怡,新北市三芝區,筊白筍,112/10/31,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
16015,沈○銀,台北市中山區,小白菜,114/7/23,農藥(賽安勃),不合格,依食安法第47條裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
38784,沈○雄,新北市板橋區,金桔,114/2/6,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
183805,洪○輝,台北市大同區,竹笙,110/11/26,漂白劑、農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
105058,游○羽,新北市板橋區,綠無籽葡萄,112/6/2,農藥(芬普尼),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
209496,漁爸fish8生鮮專賣,臺北市內湖區,頂級生白蝦(850g/盒),110/3/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
209497,漁爸fish8生鮮專賣,臺北市內湖區,日本北海道生食級干貝M(500g/盒),110/3/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
199985,澄暘肉品,臺北市松山區,Choice特級美國板腱(排),110/6/28,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
199986,澄暘肉品,臺北市松山區,紐西蘭肋眼沙朗(排),110/6/28,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
199987,澄暘肉品,臺北市松山區,伊比利梅花豬(片),110/6/28,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
132181,無市招(洪○興),臺北市文山區,鵝菜,111/11/9,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
