年度,統計月份,轄區,行業別,案件數（數量）
113,1~12月,臺北市,用水供應及污染整治業,9
113,1~12月,臺北市,營造業,136
113,1~12月,臺北市,批發及零售業,946
113,1~12月,臺北市,運輸及倉儲業,122
113,1~12月,臺北市,住宿及餐飲業,433
113,1~12月,臺北市,資訊及通訊傳播業,314
113,1~12月,臺北市,金融及保險業,160
113,1~12月,臺北市,不動產業,122
113,1~12月,臺北市,專業、科學及技術服務業,315
113,1~12月,臺北市,支援服務業,626
113,1~12月,臺北市,公共行政及國防；強制性社會安全,16
113,1~12月,臺北市,教育服務業,107
113,1~12月,臺北市,醫療保健及社會工作服務業,180
113,1~12月,臺北市,藝術、娛樂及休閒服務業,57
113,1~12月,臺北市,其他服務業,729
