"統計期","勞工保險投保單位數[家]","勞工保險投保人數[人]","勞工保險給付件數[件]","勞工保險給付金額[千元]","市府推介就業服務/新登記求職人數[人]","市府推介就業服務/新登記求才人數[人]","市府推介就業服務/有效求職推介就業人數[人]","市府推介就業服務/有效求才僱用人數[人]","市府推介就業服務/求職就業率[%]","市府推介就業服務/求才利用率[%]","重大職業災害發生件數[件]","重大職業災害死亡人數[人]"
"94年 8月",98644,2096100,11533,4274395,4147,7814,1658,3417,39.98,43.73,4,4
"94年 9月",98984,2099230,9746,2984768,4010,9125,1436,3689,35.81,40.43,2,2
"94年 10月",99244,2104242,9292,2945293,3504,6403,1328,1854,37.90,28.96,3,3
"94年 11月",99526,2108091,9902,3004859,3629,4630,1329,1252,36.62,27.04,1,1
"94年 12月",99561,2100589,9694,2868420,3109,2777,1135,1609,36.51,57.94,3,3
"95年 1月",99706,2103496,9564,3402736,3003,4957,939,590,31.27,11.90,0,0
"95年 2月",99751,2095102,7361,2484991,3900,5651,1341,927,34.38,16.40,4,3
"95年 3月",99914,2089230,11204,3646468,4967,6379,2053,1315,41.33,20.61,0,0
"95年 4月",100029,2094982,9029,3265091,4550,5706,2256,1226,49.58,21.49,1,1
"95年 5月",100050,2090958,9853,3314669,4836,6835,2208,1112,45.66,16.27,1,1
"95年 6月",100011,2087590,10255,3391490,4724,7207,2315,1350,49.01,18.73,4,4
"95年 7月",100045,2099623,10373,3946542,4793,5232,2355,1368,49.13,26.15,5,5
"95年 8月",100031,2098285,10730,3588937,4744,5727,2131,1263,44.92,22.05,4,3
"95年 9月",100073,2108197,9872,3492350,4475,4668,2022,1839,45.18,39.40,3,3
"95年 10月",100128,2103704,9327,3005402,4931,5592,2326,2150,47.17,38.45,2,2
"95年 11月",100200,2105732,10305,3331129,4816,5265,2671,2118,55.46,40.23,3,3
"95年 12月",100058,2113350,9527,2923069,4159,3440,1613,1641,38.78,47.70,4,4
"96年 1月",99947,2117941,11554,4503505,4998,3563,2149,1356,43.00,38.06,4,4
"96年 2月",99944,2107105,7064,2280816,3468,2347,1397,1182,40.28,50.36,2,2
"96年 3月",99891,2106419,10673,3745770,5547,5726,2482,1831,44.74,31.98,3,3
