_id,_importdate,經度,緯度,序號,發生日期,工程名稱,事業單位名稱,地址,災害類型,死亡人數,受傷人數
48,"{'date': '2025-11-27 15:27:16.119197', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5238165,25.11189014,48,111年6月17日,（108建146）榮華一鹿新建工程,宏利發建設有限公司,臺北市北投區榮華一路6巷1號,墜落、滾落,1,0
49,"{'date': '2025-11-27 15:27:16.120554', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5974932,25.0505112,49,111年6月4日,（108建227）臺北市南港區南港機廠基地公共住宅統包工程,大陸工程股份有限公司,臺北市南港區忠孝東路7段126號,墜落、滾落,1,0
50,"{'date': '2025-11-27 15:27:16.121807', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5445297,25.03402415,50,111年5月13日,（107建030）臺北市大安區復興段房屋新建工程,合興建設股份有限公司,臺北市大安區信義路4段19巷,墜落,1,0
51,"{'date': '2025-11-27 15:27:16.123097', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5083191,25.05516366,51,111年3月3日,雨庇更新工程,永發工程行,臺北市大同區貴德街75之1、2號,墜落,1,0
52,"{'date': '2025-11-27 15:27:16.124845', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5498,25.06338326,52,111年2月19日,航廈消防防火暨排煙改善工程,漢威聯合股份有限公司,臺北市松山區敦化北路340之9號,墜落、滾落,1,0
53,"{'date': '2025-11-27 15:27:16.126258', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.548538,25.04910566,53,111年1月1日,（109建123）臺北市敦化國小校舍拆除改建工程主體工程,偉大建設股份有限公司,臺北市松山區敦化北路2號,墜落、滾落,1,0
54,"{'date': '2025-11-27 15:27:16.127718', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.508362,25.113429,54,110年12月14日,（106建152）恆合建設江山新建工程,恆合營造有限公司,臺北市北投區承德路7段164巷口,墜落、滾落,1,0
55,"{'date': '2025-11-27 15:27:16.129011', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.4993265,25.02297191,55,110年9月28日,臺北都會區大眾捷運系統萬大－中和－樹林線（第一期工程）CQ840區段標工程,大陸工程股份有限公司,臺北市萬華區萬大路346號前地底下,被夾、被捲,1,0
56,"{'date': '2025-11-27 15:27:16.130182', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5054683,25.03908084,56,110年7月10日,（107建020）新碩華悅新建工程,遠碩營造股份有限公司,臺北市萬華區柳州街14號對面,墜落、滾落,1,0
57,"{'date': '2025-11-27 15:27:16.131651', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.53319,25.05621,57,110年7月1日,松江路大樓新建工程,三井工程股份有限公司,臺北市中山區松江路173巷口,物體飛落,1,0
58,"{'date': '2025-11-27 15:27:16.133012', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5313341,25.0334359,58,110年5月14日,略,永康停車場股份有限公司,臺北市大安區信義路2段224號1樓,墜落、滾落,1,0
59,"{'date': '2025-11-27 15:27:16.134301', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.507339,25.119477,59,110年1月25日,（108建045）維正建設立農段新建工程,東生營造股份有限公司,臺北市北投區立農街1段332號對面,物體飛落,1,0
60,"{'date': '2025-11-27 15:27:16.138702', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.51114,25.03687,60,110年1月10日,（109變使（准）129）司法新廈大樓外牆更新改善工程,年建營造有限公司,略,墜落,1,0
61,"{'date': '2025-11-27 15:27:16.140557', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.603114,25.0613495,61,110年1月7日,略,馥餘實業股份有限公司,臺北市內湖區潭美街585號1樓,被夾、被捲,2,0
62,"{'date': '2025-11-27 15:27:16.142358', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.54231,25.0621,62,109年11月30日,僑大聯合廣場商辦大樓外牆磁磚剝落及防水工程,屋頂達人工程有限公司,中山區民權東路三段58號,墜落,1,0
63,"{'date': '2025-11-27 15:27:16.144123', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5610647,25.05163384,63,109年11月17日,略,東昇清潔工程有限公司,臺北市松山區南京東路5段76、78號5樓,感電,1,0
64,"{'date': '2025-11-27 15:27:16.145840', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",0,0,64,109年10月22日,中正橋改建工程及代辦管線附掛工程,春原營造股份有限公司,中正橋旁新店溪,溺斃,1,0
65,"{'date': '2025-11-27 15:27:16.147481', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5498463,25.0213765,65,109年10月7日,（107建159）大安區辛亥段四小段0017之0001地號新建工程,王工南營造有限公司,臺北市大安區樂業街72巷16號旁,墜落、滾落,1,0
66,"{'date': '2025-11-27 15:27:16.149168', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5866322,25.0415806,66,109年9月30日,（106建040）玉成公園集合住宅新建工程,森城建設股份有限公司,臺北市信義區中坡南路201巷,墜落、滾落,1,0
67,"{'date': '2025-11-27 15:27:16.150683', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.507339,25.119477,67,109年9月22日,（108建045）維正建設立農段新建工程,東生營造股份有限公司,臺北市北投區立農街1段332號對面,墜落,1,1
68,"{'date': '2025-11-27 15:27:16.152157', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.557227,25.049028,68,109年9月14日,建築物一般清潔服務業,鼎盛國際工程有限公司,臺北市松山區光復北路26巷5號,墜落、滾落,1,0
69,"{'date': '2025-11-27 15:27:16.153703', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",0,0,69,109年8月3日,略,臺北市政府工務局水利工程處,略,被撞,1,0
70,"{'date': '2025-11-27 15:27:16.155328', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.506394,25.045212,70,109年8月2日,略,享福企業有限公司,臺北市萬華區西寧南路36號,被夾、被捲,1,0
71,"{'date': '2025-11-27 15:27:16.156947', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5599425,25.0481049,71,109年6月20日,（109拆015）京華城拆除工程,萬鎰營造有限公司,臺北市松山區八德路4段138號,物體倒塌、崩塌,1,0
72,"{'date': '2025-11-27 15:27:16.158425', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",0,0,72,109年5月26日,民宅後陽臺遮雨棚拆除及更新工程,玉全鋁業有限公司,略,墜落,1,1
73,"{'date': '2025-11-27 15:27:16.160063', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.29576,25.02217,73,109年5月26日,略,永嘉升降設備停車設備維修工程,臺北市萬華區西園路一段72巷2號,墜落,0,3
74,"{'date': '2025-11-27 15:27:16.161614', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.583834,25.076409,74,109年2月5日,（105建148）碧湖天大樓新建工程,品興營造股份有限公司,臺北市內湖區陽光街68巷115弄,墜落、滾落,1,0
75,"{'date': '2025-11-27 15:27:16.163320', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",0,0,75,109年1月6日,電梯安裝及維修,偉塵科技工程股份有限公司,臺北市文山區木柵路1段111號,被夾、被捲,1,0
76,"{'date': '2025-11-27 15:27:16.164801', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.503132,25.123003,76,108年12月20日,（106建236）臺北市北投區奇岩公宅新建工程,國記營造股份有限公司,北投區磺港路288號對面,墜落,1,0
77,"{'date': '2025-11-27 15:27:16.166496', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.497509,25.093704,77,108年12月12日,略,江浚實業有限公司,臺北市士林區延平北路7段1號,被撞,1,0
78,"{'date': '2025-11-27 15:27:16.168226', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.54855,25.056652,78,108年11月12日,108年度全市橋涵維護工程開口契約第5標（士林、北投區）,聖鋒營造有限公司,洲美快速道路高架橋,公路交通事故,1,0
79,"{'date': '2025-11-27 15:27:16.169750', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.598622,25.052546,79,108年11月5日,北部流行音樂中心興建工程（北基地零星工程）,春原營造股份有限公司,市民大道8段,墜落,1,0
80,"{'date': '2025-11-27 15:27:16.171494', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.547763,25.051789,80,108年11月4日,（108拆117）南京營區拆除工程,泰源建材有限公司,略,滾落,1,0
81,"{'date': '2025-11-27 15:27:16.173070', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",0,0,81,108年10月26日,松湖~大安、深美~大安345kV電纜線路潛盾洞道暨附屬機電統包工程,日商鹿島營造股份有限公司台灣分公司,略,墜落,1,0
82,"{'date': '2025-11-27 15:27:16.174710', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",0,0,82,108年9月27日,內湖區內湖路2段室內裝修工程,略,內湖區內湖路2段,墜落,1,0
83,"{'date': '2025-11-27 15:27:16.176273', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5327787,25.02523946,83,108年8月27日,誠品建築－大安森林案新建工程之機械停車設備工程,菱光機械工業股份有限公司,臺北市和平東路1段248巷口工地,墜落,1,0
84,"{'date': '2025-11-27 15:27:16.177808', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,0,84,108年8月24日,108年度臺北市山坡地溪溝更新預約式工程案（北區）,亞東營造股份有限公司,略,溺斃,1,0
85,"{'date': '2025-11-27 15:27:16.179364', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.563686,25.040176,85,108年8月5日,基隆路1段200號地下2樓裝修工程,華揚消防工程顧問股份有限公司,臺北市基隆路1段200號,墜落,1,0
86,"{'date': '2025-11-27 15:27:16.180865', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.54855,25.056652,86,108年8月2日,宏泰世界大樓空調操作保養管理維護,恆泰科技工程有限公司,臺北市松山區敦化北路170號,感電,1,0
87,"{'date': '2025-11-27 15:27:16.182076', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",0,0,87,108年7月19日,大安410號公園新建工程,台正營造有限公司,大安410號公園新建工程,物體倒塌、崩塌,1,0
88,"{'date': '2025-11-27 15:27:16.183416', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5572521,25.04250432,88,108年7月12日,韓屋村有限公司,萬士益冷氣股份有限公司,臺北市大安區光復南路180巷8號1樓,感電,1,0
89,"{'date': '2025-11-27 15:27:16.184724', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.4971057,25.12305032,89,108年6月17日,農禪寺豐年段一小段566地號臨時展場維修工程,巨勳廣告工程有限公司,臺北市北投區大業路65巷,墜落,1,0
90,"{'date': '2025-11-27 15:27:16.186068', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",0,0,90,108年3月26日,108年度西南區路燈新設預約工程,凱勗工程有限公司,興隆路3段,被撞,1,0
91,"{'date': '2025-11-27 15:27:16.187151', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5158387,25.0463369,91,108年1月30日,大亞會館衛浴／拆除／玻璃／鐵工／隔間／鋁窗／木工含木作／水電／泥作／冷氣/壁紙地毯／弱電／消防等以上工程,新寶發工程有限公司,臺北市中正區忠孝西路1段50號,墜落,1,0
92,"{'date': '2025-11-27 15:27:16.188334', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",0,0,92,108年1月19日,107年度河濱公園及河川區域環境委託維護工作（東右）,綠廾院實業有限公司,無（臺北市中山區中山北路四段與圓山河濱公園出口之間斜坡道）,物體倒塌、崩塌,1,0
93,"{'date': '2025-11-27 15:27:16.189472', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5248412,25.04617993,93,107年12月10日,華山引道內工程維修車調車作業,,臺北市中正區北平東路20號對面-台鐵6號緊急逃生出口,被撞,1,0
94,"{'date': '2025-11-27 15:27:16.190682', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",0,0,94,107年11月27日,107年度臺北市士林及南港區山區道路維護更新預約式工程,日光營造股份有限公司,略,被撞,1,0
95,"{'date': '2025-11-27 15:27:16.191894', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.567943,25.078155,95,107年11月17日,學學國際文化創意事業股份有限公司大樓一樓大門及採光罩玻清洗,赫仕建築物管理維護股份有限公司,臺北市內湖區堤頂大道二段 207 號,墜落,1,0
96,"{'date': '2025-11-27 15:27:16.193041', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5498092,25.06337111,96,107年9月20日,（107建017）冠德建設松山區民生段拾壹層辦公大樓新建工程,根基營造股份有限公司,臺北市松山區敦化北路313巷旁,物體飛落,1,0
97,"{'date': '2025-11-27 15:27:16.194135', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5351206,25.01324835,97,107年9月14日,略,捷凱物流股份有限公司,臺北市中正區羅斯福路4段108巷,被夾、被捲,1,0
98,"{'date': '2025-11-27 15:27:16.195266', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5594831,25.08375132,98,107年8月30日,電梯（升降機）安裝工程,達欣工程股份有限公司,臺北市中山區植福路189號對面,墜落,1,0
99,"{'date': '2025-11-27 15:27:16.196266', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",0,0,99,107年8月13日,民宅頂樓加蓋建物屋頂更新工程,倉圓企業有限公司,略,略,1,0
100,"{'date': '2025-11-27 15:27:16.197399', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",0,0,100,107年7月7日,107年度大直橋等橋樑及河濱公園景觀照明委託管理維護案,鈺鍠實業有限公司,臺北市士林區自強隧道,撞擊,1,2
101,"{'date': '2025-11-27 15:27:16.198537', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5907998,25.06663248,101,107年6月8日,略,中華電信股份有限公司臺灣北區電信分公司,臺北市內湖區成功路2段404號,,1,0
102,"{'date': '2025-11-27 15:27:16.199655', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.523172,25.039517,102,107年5月17日,（101建246）新富開發股份有限公司新建工程,信創營造股份有限公司,林森南路61巷與仁愛路1段23巷交口,墜落,1,0
103,"{'date': '2025-11-27 15:27:16.200932', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5310316,25.11459731,103,107年4月25日,天母區高公館吉宅新建工程案,好室達室內裝修有限公司,略,火災,1,0
104,"{'date': '2025-11-27 15:27:16.201955', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.524577,25.04960035,104,107年4月11日,天閣酒店華山館裝修工程,榆莊室內裝修工程有限公司,臺北市中山區林森北路76號,墜落,1,0
105,"{'date': '2025-11-27 15:27:16.203078', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5482954,25.02715119,105,107年3月12日,成功市場改建工程（連續壁工程）,力山工程行,臺北市大安區敦化南路2段112號旁,物體飛落,1,0
106,"{'date': '2025-11-27 15:27:16.204420', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5325997,25.11779283,106,107年2月5日,略,全統西點麵包有限公司,臺北市士林區天母東路36之4號,感電,1,0
107,"{'date': '2025-11-27 15:27:16.205503', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5157519,25.13593218,107,107年1月15日,略,狀元庭園綠化有限公司,臺北市北投區溫泉路銀光巷22號,,1,0
108,"{'date': '2025-11-27 15:27:16.206714', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5181788,25.06942137,108,106年12月26日,（103建182）新光人壽承德企業大樓新建工程,勝堡村營造工程股份有限公司,臺北市大同區承德路3段186號,墜落,1,0
109,"{'date': '2025-11-27 15:27:16.207985', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5835832,25.12668679,109,106年12月3日,（103建141）長虹天蔚集合住宅新建工程,宏林營造廠股份有限公司,臺北市北投區三合街1段118巷2號,墜落,1,0
110,"{'date': '2025-11-27 15:27:16.209073', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5089345,25.08885058,110,106年8月24日,廣告招牌檢修工程,國際歡喜廣告設計有限公司,臺北市士林區社正路9號,感電,1,0
111,"{'date': '2025-11-27 15:27:16.210275', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5107131,25.1167361,111,106年8月21日,（104建205）承璽建設立農段集合住宅新建工程,華林營造股份有限公司,臺北市北投區致遠二路95巷27號,物體飛落,1,0
112,"{'date': '2025-11-27 15:27:16.211676', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5191718,25.1191804,112,106年7月23日,中正樓往動力中心及門診天橋外牆整修工程,廣記營造股份有限公司,臺北市北投區石牌路2段201號,墜落,1,0
113,"{'date': '2025-11-27 15:27:16.212915', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5290889,25.04096253,113,106年7月15日,辰舍有限公司招牌維修作業,廖光雄（即鉅光廣告工程行）,臺北市中正區濟南路2段35－1號,感電,1,0
114,"{'date': '2025-11-27 15:27:16.213988', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",0,0,114,106年7月14日,民宅室內電路維修工程,略,略,感電,1,0
115,"{'date': '2025-11-27 15:27:16.215049', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5230053,25.09722886,115,106年6月5日,數位有線電視網路新建工程,北都數位有線電視股份有限公司,臺北市士林區美崙街,感電,1,0
116,"{'date': '2025-11-27 15:27:16.216270', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5641319,25.05432151,116,106年5月20日,（103建067）臺北市松山區健康公營住宅新建工程,新亞建設開發股份有限公司,健康路與三民路交口,墜落,1,0
