_id,_importdate,經度,緯度,序號,發生日期,工程名稱,事業單位名稱,地址,災害類型,死亡人數,受傷人數
142,"{'date': '2025-11-27 15:27:16.249487', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.6073298,25.05357336,142,104年8月4日,（100建028）潤泰旭展股份有限公司南港車站BOT新建工程,潤弘精密工程事業股份有限公司,臺北市南港區南港路1段313號,感電,1,0
143,"{'date': '2025-11-27 15:27:16.251016', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.4957727,25.12125081,143,104年7月26日,略,達宸工程實業股份有限公司,臺北市北投區大度路1段167號,墜落、滾落,1,0
144,"{'date': '2025-11-27 15:27:16.252517', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5527768,25.15065401,144,104年7月20日,中山樓溫泉取供設施統包工程,廣鎂營造事業有限公司,臺北市北投區陽明路二段15號,與有害物等之接觸,2,0
145,"{'date': '2025-11-27 15:27:16.253921', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5284182,25.08330652,145,104年6月2日,（100建179圓山微波廣播塔興建工程,宜鋒營造工程有限公司,臺北市中山區中山北路4段1巷1弄30號,墜落、衝撞,1,0
146,"{'date': '2025-11-27 15:27:16.255363', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5514636,25.08262682,146,104年5月30日,（103建219）良茂建設臺北市中山區金泰段辦公大樓新建工程,仁仁營造有限公司,臺北市中山區明水路、樂群三路口,溺斃,1,0
147,"{'date': '2025-11-27 15:27:16.256773', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",-123.3358097,338916.2759,147,104年5月19日,（102建037號）寶慶路案新建工程,大陸工程股份有限公司,臺北市中正區中華路1段59號旁,物體飛落,1,0
148,"{'date': '2025-11-27 15:27:16.258296', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.551244,25.08451449,148,104年5月13日,中山區明水路696號中庭景觀裝修工程,坪芳園藝有限公司,臺北市中山區明水路696號,墜落、滾落,1,0
149,"{'date': '2025-11-27 15:27:16.259964', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5527159,25.04801771,149,104年5月11日,（102建093）臺北市中崙市場BOT案新建工程,達欣工程（股）公司,臺北市松山區八德路3段81號,跌倒,1,0
150,"{'date': '2025-11-27 15:27:16.261409', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",0,0,150,104年4月7日,冷氣機漏水查修作業,高登電器有限公司,略,墜落,1,0
151,"{'date': '2025-11-27 15:27:16.263008', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.4845037,25.13960854,151,104年3月29日,（103建123）風雨操場新建工程,冠國營造有限公司,臺北市北投區中央北路3段40巷45號,墜落、滾落,1,0
152,"{'date': '2025-11-27 15:27:16.264590', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5514573,25.02457957,152,104年3月19日,（102建015）大安區通化段集合住宅新建工程,謙旭工程有限公司,臺北市大安區和平東路3段117號,墜落、滾落,1,0
153,"{'date': '2025-11-27 15:27:16.266201', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.6006028,25.08390289,153,104年3月4日,（102建311）興富發建設台北市內湖區康寧段三小段267－1、267-7等2筆住商大樓新建工程,齊裕營造股份有限公司,臺北市內湖區成功路4段180號,物體倒榻,1,0
154,"{'date': '2025-11-27 15:27:16.267624', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5471397,25.09561607,154,104年1月29日,略,台灣日山電影有限公司,臺北市士林區至善路2段34號,物體倒塌、崩塌,1,2
155,"{'date': '2025-11-27 15:27:16.269031', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.571544,25.03695031,155,104年1月9日,略,怡盛保全股份有限公司,信義區忠孝東路5段236巷58～72號,被夾、被捲,1,0
156,"{'date': '2025-11-27 15:27:16.270653', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5297778,25.12277212,156,103年11月5日,停車塔二氧化碳自動系統檢測簽證工程,有信消防工程有限公司,臺北市大安區建國南路二段231號,與有害物等之接觸,1,0
157,"{'date': '2025-11-27 15:27:16.272204', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5092779,25.05918246,157,103年11月4日,（102建011）臺北市大同區迪化街1段196號新建198號歷史建築修復工程,鼎川營造股份有限公司,臺北市大同區迪化街1段198號,墜落、滾落,1,0
158,"{'date': '2025-11-27 15:27:16.273914', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.471587,25.12681543,158,103年10月20日,（103建025）好市多倉儲批發中心北投店新建工程,利晉工程股份有限公司,臺北市北投區立德路119號,物體倒塌,1,0
159,"{'date': '2025-11-27 15:27:16.275384', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5189549,25.1100719,159,103年10月6日,（100建163）億擎明德傑堡集合住宅新建工程,億欣營造股份有限公司,臺北市北投區東華街1段366號旁,墜落、滾落,1,0
160,"{'date': '2025-11-27 15:27:16.277318', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5599188,25.01699739,160,103年10月2日,大安麗池大廈中庭天花板脫落修繕工程,三友物業有限公司,臺北市大安區和平東路3段464巷2號,物體倒塌,1,0
161,"{'date': '2025-11-27 15:27:16.278810', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5705447,25.01864525,161,103年7月22日,（99建092）吳興大樓集合住宅新建工程,啟赫營造股份有限公司,臺北市信義區吳興街600巷76弄14號,墜落、滾落,1,0
162,"{'date': '2025-11-27 15:27:16.280519', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5225953,25.06653406,162,略,7－11麥田門市裝修工程,際新室內裝修工程有限公司,臺北市中山區中山北路3段47號,墜落、滾落,1,0
163,"{'date': '2025-11-27 15:27:16.281942', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5780332,25.04967108,163,略,臺北都會區捷運系統松山線CG590C區段標新建工程,達欣工程股份有限公司,臺北市松山區八德路4段692號 捷運松山站,墜落、滾落,1,0
164,"{'date': '2025-11-27 15:27:16.283334', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5020537,25.03902141,164,略,（101建333）萬華區漢中段集合住宅新建工程,齊裕營造股份有限公司,臺北市萬華區康定路與永福街交叉口,物體倒塌,1,0
165,"{'date': '2025-11-27 15:27:16.284818', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5254592,25.06056471,165,略,（101建141）力欣建設百漾住宅新建工程,成傑營造股份有限公司,臺北市中山區林森北路442號,墜落、滾落,1,0
166,"{'date': '2025-11-27 15:27:16.286281', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.503061,25.0415549,166,略,（100建125）京運鑫建設麗德莊集合住宅新建工程,大佑祥開發事業股份有限公司,臺北市萬華區內江街128號,墜落、滾落,1,0
167,"{'date': '2025-11-27 15:27:16.287782', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5607675,25.04243529,167,略,（100建181）臺北文化體育園區-大型室內體育館新建工程（遠雄旅館及辦公大樓新建工程）,遠雄營造股份有限公司,臺北市信義區忠孝東路4段553巷16號,墜落、滾落,1,0
168,"{'date': '2025-11-27 15:27:16.289255', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5386818,25.03191804,168,略,（96建383）信義聯勤集合住宅新建工程（北基地）,中鹿營造股份有限公司,臺北市大安區建國南路2段39巷旁,墜落、滾落,1,0
169,"{'date': '2025-11-27 15:27:16.290707', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5323379,25.04522121,169,略,（100建143）臺北資訊園區暨停車場大樓新建工程,利晉工程股份有限公司,臺北市中正區市民大道3段8號,墜落、滾落,1,0
170,"{'date': '2025-11-27 15:27:16.292108', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5877012,25.06205875,170,略,（97建516）太子內湖潭美辦公大樓新建工程,王子水電企業股份有限公司,臺北市內湖區金莊路、石潭路口,墜落、滾落,1,0
171,"{'date': '2025-11-27 15:27:16.293468', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5786878,25.0684124,171,略,（100建237）吉鴻電子文德辦公大樓新建工程,樹盛營造股份有限公司,臺北市內湖區民權東路6段15巷與瑞光路76巷交叉口,物體倒塌、崩塌,1,0
172,"{'date': '2025-11-27 15:27:16.295036', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5298604,25.06828774,172,略,（100建002）官景新建工程,萬堡營造股份有限公司,臺北市中山區民族東路184號,墜落、滾落,1,0
173,"{'date': '2025-11-27 15:27:16.296476', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",121.5424989,25.02113364,173,略,（98建338）社會科學院新建工程,互助營造股份有公司,臺北市大安區辛亥路2段與復興南路交叉口,墜落、滾落,1,0
