principal,date,law,name,id,lawcontent,docno,amt_dollartwd
劉德盛,2019-03-05,職業安全衛生法第6條第1項,振新水電工程有限公司,556299623WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084247251號,40000
賴禹杉,2019-06-04,職業安全衛生法第6條第1項,承盛電能安保股份有限公司,601260001WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084261093號,30000
賴禹杉,2019-06-10,職業安全衛生法第37條第2項,承盛電能安保股份有限公司,602244090WZT,事業單位勞動場所發生職業災害，未於八小時內通報勞動檢查機構,新北府勞檢字第1084262084號,30000
李雅敏,2019-07-30,職業安全衛生法第6條第1項,君諾有限公司,612163503WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084269192號,30000
卓國興,2019-08-20,職業安全衛生法第6條第1項,逸芳企業有限公司,616816253WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084271094號,30000
陳素玲,2019-08-21,職業安全衛生法第34條第1項,晶沛實業有限公司,616816255WZT,未訂定適合其需要之安全衛生工作守則，報經勞動檢查機構備查後，公告實施,新北府勞檢字第1084271154號,40000
,2019-08-27,職業安全衛生法第6條第1項,葉明泰(即勁白洗衣店),618253343WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084271972號,30000
劉和然,2019-09-23,職業安全衛生法第6條第1項,新北市政府環境保護局,626460517WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084275668號,30000
陳文添,2019-09-27,職業安全衛生法第6條第1項,品光室內裝修設計股份有限公司,627013975WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084276485號,40000
游心怡,2019-10-05,職業安全衛生法第6條第1項,五裔有限公司,629304751WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084277821號,30000
徐錦池,2019-10-05,職業安全衛生法第6條第1項,衛生福利部臺北醫院,629304757WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084277648號,30000
張政源,2019-10-22,職業安全衛生法第6條第1項,交通部臺灣鐵路管理局,633783965WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084279591號,30000
游孟輝,2020-02-03,職業安全衛生法第32條第1項,大有巴士股份有限公司,660580201WZT,未對勞工應施以從事工作與預防災變所必要之安全衛生教育及訓練,新北府勞檢字第1094762732號,30000
蘇克政,2020-02-03,職業安全衛生法第6條第1項,佳因企業有限公司,660580203WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094762805號,30000
郭昆山,2020-02-17,職業安全衛生法第6條第1項,昆龍貨櫃通運股份有限公司,663842398WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094764574號,30000
董龍泉,2020-03-13,職業安全衛生法第37條第2項,國軍退除役官兵輔導委員會臺北榮譽國民之家,670932298WZT,事業單位勞動場所發生職業災害，未於八小時內通報勞動檢查機構,新北府勞檢字第1094767522號,30000
梁天財,2020-03-23,職業安全衛生法第6條第1項,艾得股份有限公司,673926907WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094769004號,30000
葉進華,2020-04-14,職業安全衛生法第6條第1項,昶星營造工程有限公司,680042296WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第10947709762號,30000
江素卿,2020-04-30,職業安全衛生法第6條第1項,華怡實業有限公司,684961476WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094773771號,30000
張芳淑,2020-04-30,職業安全衛生法第6條第1項,聯合水業股份有限公司,684961483WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094773594號,30000
,2020-05-01,職業安全衛生法第6條第1項,陳賢根,685259161WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094773977號,30000
謝明泉,2020-05-01,職業安全衛生法第27條第1項第4款,新航通運有限公司,685259162WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094773725號,30000
謝明泉,2020-05-01,職業安全衛生法第6條第1項,新航通運有限公司,685259163WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094773979號,30000
李彥樟,2020-05-04,職業安全衛生法第6條第1項,中元營造有限公司,686030168WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094774031號,30000
楊高等,2020-05-04,職業安全衛生法第6條第1項,明朝製麵有限公司,686030176WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094774377號,30000
潘大興,2020-05-07,職業安全衛生法第32條第1項,日國工業有限公司,686752930WZT,未對勞工應施以從事工作與預防災變所必要之安全衛生教育及訓練,新北府勞檢字第1094774519號,30000
,2020-05-08,職業安全衛生法第20條第5項,孫國勝(即孫國勝外科診所),687006862WZT,醫療機構未符合認可條件、管理、檢查醫師資格,新北府勞檢字第1094774458號,60000
黃學熙,2020-05-11,職業安全衛生法第6條第1項,定晨企業有限公司,687765562WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094775113號,30000
吳俊賢,2020-05-13,職業安全衛生法第6條第1項,永珩室內設計有限公司,688296851WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094775512號,30000
劉豫洋,2020-05-13,職業安全衛生法第6條第1項,鴻翔豐企業有限公司,688296864WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094775156號,30000
周美玲,2020-05-14,職業安全衛生法第26條第1項,家潔事業有限公司,688569991WZT,事業單位以其事業之全部或一部分交付承攬時，未於事前告知該承攬人有關其事業工作環境、危害因素暨本法及有關安全衛生規定應採取之措施,新北府勞檢字第1094775613號,30000
黃理琴,2020-05-15,職業安全衛生法第6條第1項,建翰營造有限公司,688848513WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094775952號,30000
吳俊德,2020-05-15,職業安全衛生法第26條第1項,泛亞工程建設股份有限公司,688848514WZT,事業單位以其事業之全部或一部分交付承攬時，未於事前告知該承攬人有關其事業工作環境、危害因素暨本法及有關安全衛生規定應採取之措施,新北府勞檢字第1094775867號,30000
吳俊德,2020-05-15,職業安全衛生法第27條第1項,泛亞工程建設股份有限公司,688848522WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094775868號,30000
林雪霞,2020-05-15,職業安全衛生法第6條第1項,佳文實業有限公司,688848528WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094775831號,30000
林甄紜,2020-05-18,職業安全衛生法第6條第1項,豪豐營造股份有限公司,689681287WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094775770號,50000
李文進,2020-05-18,職業安全衛生法第37條第2項,勤進有限公司,689681312WZT,事業單位勞動場所發生職業災害，未於八小時內通報勞動檢查機構,新北府勞檢字第1094775986號,30000
郭家名,2020-05-18,職業安全衛生法第6條第1項,台北港埠通商股份有限公司,689681313WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094776097號,30000
鄭文明,2020-05-19,職業安全衛生法第6條第1項,山發營造股份有限公司,689973425WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094776109號,30000
簡進來,2020-05-19,職業安全衛生法第6條第1項,永進矽鋼股份有限公司,689973426WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094776221號,30000
,2020-05-19,職業安全衛生法第6條第1項,吳金德,689973432WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094776101號,30000
吳昌修,2020-05-19,職業安全衛生法第27條第1項,建國工程股份有限公司,689973433WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094776103號,30000
孫美玲,2020-05-20,職業安全衛生法第6條第1項,秋棠企業股份有限公司,690267711WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094776366號,30000
顏芮驊,2020-05-22,職業安全衛生法第6條第1項,驊恩國際有限公司,690874283WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094776691號,30000
林國順,2020-05-26,職業安全衛生法第26條第1項,國勝建材有限公司,692100770WZT,事業單位以其事業之全部或一部分交付承攬時，未於事前告知該承攬人有關其事業工作環境、危害因素暨本法及有關安全衛生規定應採取之措施,新北府勞檢字第1094776634號,30000
凃堃龍,2020-05-26,職業安全衛生法第12條第3項,裕勝企業有限公司,692100772WZT,未實施作業環境監測計畫,新北府勞檢字第1094777297號,30000
林國順,2020-05-27,職業安全衛生法第27條第1項,國勝建材有限公司,692413423WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094777582號,30000
施文亭,2020-05-27,職業安全衛生法第6條第1項,東荃工程有限公司,692413430WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094777596號,30000
孫培強,2020-05-27,職業安全衛生法第27條第1項,木荷景觀工程有限公司,692413431WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094777593號,30000
,2020-05-28,職業安全衛生法第6條第1項,江進祥(即翔泓工程行),692728491WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094777721號,30000
劉哲平,2020-05-28,職業安全衛生法第6條第1項,亞美達營造股份有限公司,692728492WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094777643號,30000
王蒼鴻,2020-05-29,職業安全衛生法第6條第1項,協聲企業有限公司,693042275WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094777177號,30000
陳文仁,2020-05-29,職業安全衛生法第6條第1項,良記營造股份有限公司,693042280WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094777940號,40000
陳文仁,2020-05-29,職業安全衛生法第27條第1項,良記營造股份有限公司,693042281WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第10947779401號,30000
程富美,2020-05-29,職業安全衛生法第6條第1項,新安起重有限公司,693042282WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第10947779402號,50000
駱檠𣟂,2020-06-01,職業安全衛生法第6條第1項,立盛食品有限公司,694473833WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094777686號,30000
王忠義,2020-06-01,職業安全衛生法第6條第1項,利發窯土有限公司,694473834WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094777772號,30000
張清松,2020-06-01,職業安全衛生法第27條第1項,年建營造有限公司,694473835WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094777946號,30000
林俊賢,2020-06-01,職業安全衛生法第6條第1項,郁力室內裝修工程有限公司,694473836WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094778004號,30000
盛信儒,2020-06-02,職業安全衛生法第6條第1項,淞耀企業股份有限公司,694473846WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094777970號,30000
李義發,2020-06-02,職業安全衛生法第6條第1項,承德油脂股份有限公司,694473847WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094777742號,30000
吳和惠,2020-06-10,職業安全衛生法第27條第1項,宏林營造廠股份有限公司,694473864WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094778373號,30000
蔡鈺姿,2020-06-03,職業安全衛生法第26條第2項,唯辰實業有限公司,694473865WZT,承攬人就其承攬之全部或一部分交付再承攬時，未依前項規定告知再承攬人,新北府勞檢字第10947783731號,30000
,2020-06-03,職業安全衛生法第6條第1項,周文彬(即堃揚工程行),694473866WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第10947783732號,30000
萬純妏,2020-06-04,職業安全衛生法第6條第1項,欣榮開發科技有限公司,694768059WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094778188號,30000
蔡英惠,2020-06-08,職業安全衛生法第6條第1項,佳業傢俱有限公司,695905678WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094778470號,30000
劉彥邦,2020-06-08,職業安全衛生法第6條第1項,茶湯會股份有限公司,695905685WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094779246號,30000
羅鉅憲,2020-06-11,職業安全衛生法第6條第1項,舶克國際有限公司,696799235WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094779404號,30000
朱國珍,2020-06-12,職業安全衛生法第6條第1項,群旭科技股份有限公司,697102768WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094779408號,30000
黃芳榮,2020-06-15,職業安全衛生法第6條第1項,全方位管道工程有限公司,697998121WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094779623號,40000
林學騰,2020-06-15,職業安全衛生法第6條第1項,萬碁工程有限公司,697998122WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094779836號,30000
曾家成,2020-06-16,職業安全衛生法第27條第1項,逢國營造有限公司,698309948WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094780248號,30000
,2020-06-16,職業安全衛生法第6條第1項,賴茹英(即鑫盛工程行),698309949WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第10947802481號,30000
邱敏錦,2020-06-16,職業安全衛生法第6條第1項,中佑營造工程股份有限公司,698309974WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094779833號,30000
吳文琳,2020-06-16,職業安全衛生法第6條第1項,笙泰營造股份有限公司,698309975WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094780501號,50000
洪明來,2020-06-17,職業安全衛生法第6條第1項,來晟企業有限公司,698625152WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094779871號,30000
陳采璇,2020-06-17,職業安全衛生法第6條第1項,詠聖興業有限公司,698625154WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094780108號,30000
陳志明,2020-06-19,職業安全衛生法第6條第1項,建銓家具有限公司,699257336WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094780713號,30000
蕭秀蓉,2020-06-20,職業安全衛生法第6條第1項,加興營造工程股份有限公司,699556680WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094780985號,40000
本間正人,2020-06-23,職業安全衛生法第37條第1項,台灣虎鐵麵屋有限公司,700434858WZT,未會同勞工代表實施職業災害調查,新北府勞檢字第1094781120號,30000
王傳井,2020-06-23,職業安全衛生法第27條第1項,永大興營造工程股份有限公司,700434859WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094781374號,30000
,2020-06-23,職業安全衛生法第6條第1項,李文德,700434860WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第10947813741號,30000
,2020-06-23,職業安全衛生法第37條第2項,李文德,700434861WZT,事業單位勞動場所發生職業災害，未於八小時內通報勞動檢查機構,新北府勞檢字第10947813742號,30000
林芸蔓,2020-06-23,職業安全衛生法第37條第2項,御馨系統廚櫃股份有限公司,700434862WZT,事業單位勞動場所發生職業災害，未於八小時內通報勞動檢查機構,新北府勞檢字第1094781240號,30000
吳銘德,2020-07-02,職業安全衛生法第27條第1項,文暉營造事業有限公司,701638875WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094782280號,30000
鄭閎森,2020-07-03,職業安全衛生法第6條第1項,森峰不銹鋼行,701802160WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094781930號,30000
,2020-07-03,職業安全衛生法第6條第1項,潘同華,701802161WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094782444號,30000
,2020-07-03,職業安全衛生法第6條第1項,曾鴻章(即瑞發鋼筋工程行),701802162WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094782268號,30000
陳志堅,2020-07-03,職業安全衛生法第6條第1項,緯豐營造股份有限公司,701802163WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094782587號,30000
張智淵,2020-07-03,職業安全衛生法第6條第1項,原成營造工程股份有限公司,701802164WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094782458號,30000
朱玉珠,2020-07-03,職業安全衛生法第27條第1項,億東營造股份有限公司,701802165WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094782269號,30000
吳和惠,2020-07-07,職業安全衛生法第6條第1項,宏林營造廠股份有限公司,703245442WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094782588號,30000
江勝吉,2020-07-08,職業安全衛生法第32條第1項,聯賓塑膠股份有限公司,703612997WZT,未對勞工應施以從事工作與預防災變所必要之安全衛生教育及訓練,新北府勞檢字第1094783017號,30000
余章凱,2020-07-08,職業安全衛生法第6條第1項,宏瀨光電有限公司,703613003WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094782650號,30000
趙千逸,2020-07-08,職業安全衛生法第6條第1項,承業精密有限公司,703613004WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094783269號,30000
趙千逸,2020-07-08,職業安全衛生法第37條第2項,承業精密有限公司,703613005WZT,事業單位勞動場所發生職業災害，未於八小時內通報勞動檢查機構,新北府勞檢字第1094783268號,30000
江勝吉,2020-07-09,職業安全衛生法第6條第1項,聯賓塑膠股份有限公司,703881919WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094783223號,40000
江勝吉,2020-07-09,職業安全衛生法第37條第2項,聯賓塑膠股份有限公司,703881920WZT,事業單位勞動場所發生職業災害，未於八小時內通報勞動檢查機構,新北府勞檢字第1094783213號,30000
詹朱淮,2020-07-13,職業安全衛生法第27條第1項,巨佳營造工程股份有限公司,705046473WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094783817號,30000
許榮富,2020-07-15,職業安全衛生法第23條第1項,晉利實業有限公司,705602946WZT,未訂定職業安全衛生管理計畫，並設置安全衛生組織、人員，實施安全衛生管理及自動檢查,新北府勞檢字第1094783821號,30000
郭錦昌,2020-07-20,職業安全衛生法第6條第1項,晉紳潛泳器材有限公司,707019140WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094784092號,30000
,2020-07-21,職業安全衛生法第6條第1項,王志成(即志成工程行),707324756WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094784723號,30000
許雄略,2020-07-21,職業安全衛生法第6條第1項,弘義工業有限公司,707324757WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094785032號,30000
陳義忠,2020-07-22,職業安全衛生法第6條第1項,長榮國際儲運股份有限公司,707628861WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094785396號,30000
林文發,2020-07-22,職業安全衛生法第6條第1項,昆成窯業股份有限公司,707628865WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094784809號,30000
譚文山,2020-07-24,職業安全衛生法第27條第1項,康新室內裝修設計工程股份有限公司,708235474WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094785318號,30000
,2020-07-24,職業安全衛生法第6條第1項,羅惠鈴(即萬利工程行),708235476WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第10947853181號,30000
王仁清,2020-07-24,職業安全衛生法第6條第1項,台灣伸侑股份有限公司,708235477WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094785502號,30000
林鴻吉,2020-07-24,職業安全衛生法第6條第1項,國城營造有限公司,708235478WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094785683號,30000
黃家豪,2020-07-27,職業安全衛生法第27條第1項,銘倫營造股份有限公司,709137186WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094785718號,30000
陳振成,2020-07-27,職業安全衛生法第6條第1項,日翔建築塗裝有限公司,709137187WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094785712號,30000
王琇如,2020-07-27,職業安全衛生法第6條第1項,九羿有限公司,709137211WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094785469號,30000
周正訓,2020-07-30,職業安全衛生法第37條第2項,旺默食品企業有限公司,710049919WZT,事業單位勞動場所發生職業災害，未於八小時內通報勞動檢查機構,新北府勞檢字第1094785635號,30000
李坤炎,2020-07-30,職業安全衛生法第6條第1項,亞東預拌混凝土股份有限公司,710049925WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094785804號,30000
李坤炎,2020-07-30,職業安全衛生法第37條第2項,亞東預拌混凝土股份有限公司,710049927WZT,事業單位勞動場所發生職業災害，未於八小時內通報勞動檢查機構,新北府勞檢字第1094785810號,30000
,2020-07-30,職業安全衛生法第6條第1項,范宗延,710049931WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094786335號,30000
李亭潔,2020-07-30,職業安全衛生法第26條第1項,宏仲營造有限公司,710049932WZT,事業單位以其事業之全部或一部分交付承攬時，未於事前告知該承攬人有關其事業工作環境、危害因素暨本法及有關安全衛生規定應採取之措施,新北府勞檢字第1094786339號,30000
張文俐,2020-07-30,職業安全衛生法第6條第1項,昌泰彩色印刷有限公司,710049933WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094786091號,30000
林福元,2020-07-30,職業安全衛生法第6條第1項,元譽精業有限公司,710049935WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094785585號,30000
毛雯琪,2020-07-31,職業安全衛生法第6條第1項,嘉予製衣股份有限公司,710354936WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094786021號,30000
陳美娟,2020-08-05,職業安全衛生法第6條第1項,巨力營造有限公司,711703728WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094786856號,30000
許勝雄,2020-08-06,職業安全衛生法第6條第1項,康舒科技股份有限公司,711985667WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094786785號,30000
楊燕誠,2020-08-06,職業安全衛生法第6條第1項,龐德國際開發有限公司,711985668WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094786609號,30000
林之晨,2020-08-06,職業安全衛生法第6條第1項,永佳樂有線電視股份有限公司,711985669WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094787014號,30000
王正明,2020-08-07,職業安全衛生法第6條第1項,桂冠實業股份有限公司,712270204WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094786630號,30000
曾憲銘,2020-08-10,職業安全衛生法第6條第1項,靖鎔科技有限公司,713106854WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094787042號,30000
,2020-08-12,職業安全衛生法第6條第1項,洪永泉(即兆固水電工程行),713693090WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094787865號,30000
,2020-08-12,職業安全衛生法第37條第2項,洪永泉(即兆固水電工程行),713693091WZT,事業單位勞動場所發生職業災害，未於八小時內通報勞動檢查機構,新北府勞檢字第1094787894號,30000
戴玉玲,2020-08-12,職業安全衛生法第6條第1項,富麗營造股份有限公司,713693092WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094788021號,30000
徐聰杰,2020-08-14,職業安全衛生法第6條第1項,宏濱營造有限公司,714274949WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094787910號,30000
柯冠宇,2020-08-17,職業安全衛生法第6條第1項,澋豪興企業有限公司,715099701WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094788304號,30000
林文鑑,2020-08-18,職業安全衛生法第6條第1項,百輝營造有限公司,715379410WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094788169號,30000
黃子明,2020-08-18,職業安全衛生法第6條第1項,世久營造探勘工程股份有限公司,715379411WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094788517號,30000
高宗侯,2020-08-18,職業安全衛生法第6條第1項,鋼管建築工程股份有限公司,715379413WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094788704號,40000
詹德松,2019-12-12,職業安全衛生法第6條第1項,德美企業有限公司,647894675WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1084286504號,30000
黃禎豐,2020-08-19,職業安全衛生法第6條第1項,絲品股份有限公司,715665503WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094788955號,30000
林文鑑,2020-08-19,職業安全衛生法第6條第1項,百輝營造有限公司,715665504WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094788866號,30000
張明智,2020-08-19,職業安全衛生法第22條第1項,威強電工業電腦股份有限公司,715665506WZT,未特約醫護人員辦理臨場健康服務,新北府勞檢字第1094789074號,30000
陳鴻儀,2020-08-24,職業安全衛生法第6條第1項,連淨綠色科技股份有限公司,717090558WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094789110號,30000
凌思卓,2020-08-24,職業安全衛生法第23條第1項,宜家家居股份有限公司,717090565WZT,未訂定職業安全衛生管理計畫，並設置安全衛生組織、人員，實施安全衛生管理及自動檢查,新北府勞檢字第1094789037號,40000
楊龍盛,2020-08-25,職業安全衛生法第6條第1項,成龍電氣工程有限公司,717385308WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094789373號,30000
趙永籐,2020-08-25,職業安全衛生法第6條第1項,泉鋒室內裝潢工程有限公司,717385318WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094789502號,30000
陳燕雪,2020-08-25,職業安全衛生法第6條第1項,力麒營造有限公司,717385319WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094789255號,30000
,2020-08-26,職業安全衛生法第6條第1項,黃啟文(即弘安興業社),717682731WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094789630號,30000
江明炫,2020-08-28,職業安全衛生法第6條第1項,信記紙器股份有限公司,718276345WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094789781號,30000
黃子明,2020-09-01,職業安全衛生法第6條第1項,世久營造探勘工程股份有限公司,719436685WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094790241號,30000
羅嘉琪,2020-09-01,職業安全衛生法第6條第1項,睿展工程有限公司,719436686WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094790373號,30000
吳嘉昭,2020-09-01,職業安全衛生法第6條第1項,南亞塑膠工業股份有限公司,719436689WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094790434號,30000
張正岳,2020-09-02,職業安全衛生法第6條第1項,瑞助營造股份有限公司,719692312WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094790707號,30000
江志明,2020-09-04,職業安全衛生法第6條第1項,鑫祈工程有限公司,720217943WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094791235號,30000
林瑛珠,2020-09-04,職業安全衛生法第6條第1項,基合開發工程有限公司,720217944WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094791108號,30000
吳健輝,2020-09-07,職業安全衛生法第6條第1項,圓陵工業股份有限公司,720427607WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094790521號,30000
李博文,2020-09-08,職業安全衛生法第23條第1項,首都客運股份有限公司,720506576WZT,未訂定職業安全衛生管理計畫，並設置安全衛生組織、人員，實施安全衛生管理及自動檢查,新北府勞檢字第1094791102號,30000
廖健勝,2020-09-08,職業安全衛生法第6條第1項,兆子星營造工程股份有限公司,720506577WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1094790957號,30000
廖健勝,2020-09-08,職業安全衛生法第27條第1項,兆子星營造工程股份有限公司,720506578WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1094790939號,30000
