principal,date,law,name,id,lawcontent,docno,amt_dollartwd
張榮全,2024-05-29,職業安全衛生法第27條第1項,東生營造股份有限公司,993209198WZT,事業單位與承攬人、再承攬人分別僱用勞工共同作業時，為防止職業災害，原事業單位未採取必要措施,新北府勞檢字第1134646327號,60000
楊易璋,2024-05-29,職業安全衛生法第6條第1項,朝瀚實業有限公司,993209199WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第11346463271號,30000
陳燕城,2024-05-29,職業安全衛生法第20條第1項,岩易企業股份有限公司,993209200WZT,僱用勞工時，未施行體格檢查，或未對在職勞工施行健康檢查,新北府勞檢字第1134646480號,30000
洪文霖,2024-05-29,職業安全衛生法第6條第1項,輝達營造有限公司,993209201WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134646691號,100000
李明廣,2024-05-30,職業安全衛生法第6條第1項,紹華營造股份有限公司,993209202WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134646729號,80000
鄭政隆,2024-05-30,職業安全衛生法第6條第1項,山發營造股份有限公司,993209204WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134646754號,40000
蔡坤欣,2024-05-30,職業安全衛生法第6條第1項,承優營造股份有限公司,993209225WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134646789號,40000
田中一彥,2024-05-30,職業安全衛生法第6條第1項,台灣松下營造股份有限公司,993209226WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134646724號,80000
吳宗文,2024-05-29,職業安全衛生法第6條第1項,工隆水電工程股份有限公司,993209231WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134646832號,30000
許智峰,2024-05-31,職業安全衛生法第6條第1項,揚潤營造股份有限公司,993371372WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647098號,210000
母彩鳳,2024-06-03,職業安全衛生法第6條第1項,凱健營造有限公司,993530950WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647133號,50000
劉秀福,2024-05-31,職業安全衛生法第6條第1項,旭大實業股份有限公司,993530951WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134646622號,30000
張家躍,2024-06-04,職業安全衛生法第6條第1項,昱嘉營造有限公司,993983284WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647350號,30000
呂麟珠,2024-06-04,職業安全衛生法第6條第1項,弘達開發有限公司,993983306WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647320號,30000
彭萬源,2024-06-04,職業安全衛生法第6條第1項,立華營造股份有限公司,993983308WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647477號,30000
,2024-06-04,職業安全衛生法第6條第1項,王聰堯,994143633WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647026號,30000
潘則耀,2024-06-04,職業安全衛生法第6條第1項,德豐永有限公司,994143634WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647003號,50000
黃大欉,2024-06-04,職業安全衛生法第6條第1項,福清營造股份有限公司,994143635WZT,未符合規定之必要安全衛生設備及措施,新北府勞檢字第1134647520號,30000
