principal,date,law,name,id,lawcontent,docno,amt_dollartwd
呂連嘉,2022-03-23,勞動基準法第23條第1項,宜佳鋼構股份有限公司,882349364WZT,未提供勞工工資各項目計算方式明細,新北府勞檢字第1114737994號,20000
李宜庭,2022-03-23,勞動基準法第24條,榮峰工業股份有限公司,882349367WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114738097號,20000
李宜庭,2022-03-23,勞動基準法第32條第2項,榮峰工業股份有限公司,882349368WZT,延長工作時間超過法令規定,新北府勞檢字第11147380971號,20000
謝宗平,2022-03-23,勞動基準法第30條第6項,鮮饗家食品有限公司,882349369WZT,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,新北府勞檢字第1114738153號,20000
 ,2022-03-23,勞動基準法第23條,魏絜柔(即食光隧道商行),882589056WZT,未依規定置備工資清冊,新北府勞檢字第1114738350號,10000
張晉銓,2022-03-23,勞動基準法第36條第2項,台灣國際公寓大廈管理維護有限公司,882589057WZT,每七日中未有一日之休息作為例假,新北府勞檢字第1114738522號,20000
 ,2022-03-23,勞動基準法第30條第5項,陳育賢(即富吉6號漁船),882589058WZT,未依規定置備勞工出勤紀錄表,新北府勞檢字第1114737764號,45000
胡南澤,2022-03-24,勞動基準法第24條,台灣自來水股份有限公司,882589061WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114738032號,40000
胡南澤,2022-03-24,勞動基準法第35條,台灣自來水股份有限公司,882589062WZT,繼續工作四小時未有三十分鐘休息,新北府勞檢字第11147380321號,40000
 ,2022-03-24,勞動基準法第39條,徐美真(即福城車業行及欣福城車業行),882589065WZT,假日工資未給或於休假日工作未依規定加給工資,新北府勞檢字第1114738703號,40000
湯永郎,2022-03-25,勞動基準法第24條,強固保全股份有限公司,882589066WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114738120號,40000
湯永郎,2022-03-25,勞動基準法第35條,強固保全股份有限公司,882589067WZT,繼續工作四小時未有三十分鐘休息,新北府勞檢字第11147381201號,40000
蘇炳榮,2022-03-25,勞動基準法第22條第2項,吉翔食品有限公司,882728898WZT,工資未全額直接給付勞工,新北府勞檢字第1114738122號,20000
蘇炳榮,2022-03-25,勞動基準法第23條第2項,吉翔食品有限公司,882728899WZT,未依規定置備工資清冊或未詳實記載工資各項目明細,新北府勞檢字第11147381221號,20000
蘇炳榮,2022-03-25,勞動基準法第30條第6項,吉翔食品有限公司,882728900WZT,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,新北府勞檢字第11147381222號,20000
蘇炳榮,2022-03-25,勞動基準法第36條第1項,吉翔食品有限公司,882728901WZT,每七日中未有一日之休息作為例假,新北府勞檢字第11147381223號,40000
蘇炳榮,2022-03-25,勞動基準法第38條第4項,吉翔食品有限公司,882728902WZT,勞工之特別休假，因年度終結或契約終止而未休之日數，雇主應發給工資,新北府勞檢字第11147381224號,20000
蘇炳榮,2022-03-25,勞動基準法第70條,吉翔食品有限公司,882728903WZT,工作規則未依規定報備並公告揭示,新北府勞檢字第11147381225號,20000
陳正輝,2022-03-28,勞動基準法第32條第2項,王品餐飲股份有限公司,882728910WZT,延長工作時間超過法令規定,新北府勞檢字第1114738676號,50000
孫敬家,2022-03-28,勞動基準法第24條,全家租車股份有限公司,882728912WZT,延長工作時間未依規定加給工資,新北府勞檢字第11147386871號,20000
陳素玲,2022-03-28,勞動基準法第23條第2項,晶沛實業有限公司,883135098WZT,未依規定置備工資清冊或未詳實記載工資各項目明細,新北府勞檢字第1114738574號,20000
陳素玲,2022-03-28,勞動基準法第30條第6項,晶沛實業有限公司,883135099WZT,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,新北府勞檢字第11147385741號,20000
陳素玲,2022-03-28,勞動基準法第32條第2項,晶沛實業有限公司,883135100WZT,延長工作時間超過法令規定,新北府勞檢字第11147385742號,20000
陳素玲,2022-03-28,勞動基準法第38條,晶沛實業有限公司,883135101WZT,未依規定給予特別休假,新北府勞檢字第11147385743號,20000
劉德欽,2022-03-28,勞動基準法第24條,蘿曼仕旅舘股份有限公司,883135104WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114739031號,20000
鄭文儒,2022-03-28,勞動基準法第70條,新翊能源科技股份有限公司,883135105WZT,工作規則未依規定報備並公告揭示,新北府勞檢字第1114738845號,20000
 ,2022-03-29,勞動基準法第22條第2項,林信良(即前晨電影工作室),883274685WZT,工資未全額直接給付勞工,新北府勞檢字第1114738994號,10000
 ,2022-03-29,勞動基準法第24條,林信良(即前晨電影工作室),883274686WZT,延長工作時間未依規定加給工資,新北府勞檢字第11147389941號,10000
王建閎,2022-03-29,勞動基準法第24條,國瑒有限公司,883274688WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114738864號,20000
陳萬福,2022-03-30,勞動基準法第24條,海景天下第二期公寓大廈管理委員會,883274697WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114738856號,20000
陳萬福,2022-03-30,勞動基準法第36條第1項,海景天下第二期公寓大廈管理委員會,883274698WZT,每七日中未有一日之休息作為例假,新北府勞檢字第11147388561號,20000
陳萬福,2022-03-30,勞動基準法第39條,海景天下第二期公寓大廈管理委員會,883274699WZT,假日工資未給或於休假日工作未依規定加給工資,新北府勞檢字第11147388562號,20000
 ,2022-03-30,勞動基準法第59條第4款,周江霞(即迦南鷹架工程行),883274700WZT,未依規定給與職業災害補償,新北府勞檢字第1114739052號,20000
陳金泉,2022-03-30,勞動基準法第32條第2項,俋霖科技股份有限公司,883415785WZT,延長工作時間超過法令規定,新北府勞檢字第1114739178號,20000
林憶菁,2022-03-30,勞動基準法第24條,翔賀物業管理顧問股份有限公司,883415786WZT,延長工作時間未依規定加給工資,新北府勞檢字第1114739036號,20000
陳奕成,2022-03-30,勞動基準法第30條第6項,奕展事業有限公司,883415787WZT,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,新北府勞檢字第1114739041號,20000
陳奕成,2022-03-30,勞動基準法第36條第2項,奕展事業有限公司,883415788WZT,每七日中未有一日之休息作為例假,新北府勞檢字第11147390411號,20000
 ,2022-03-31,勞動基準法第30條第6項,曾振發,883415789WZT,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,新北府勞檢字第1114738844號,20000
林世聰,2022-03-31,勞動基準法第23條第1項,富士康保全股份有限公司,883415790WZT,未提供勞工工資各項目計算方式明細,新北府勞檢字第1114738846號,40000
林世聰,2022-03-31,勞動基準法第24條,富士康保全股份有限公司,883415791WZT,延長工作時間未依規定加給工資,新北府勞檢字第11147388461號,40000
潘志強,2022-03-31,勞動基準法第30條第6項,漢威聯合股份有限公司,883415793WZT,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,新北府勞檢字第1114739360號,40000
邊思婷,2022-03-31,勞動基準法第30條第6項,台灣惜時有限公司,883560903WZT,出勤紀錄未依規定應逐日記載勞工出勤情形至分鐘,新北府勞檢字第1114739508號,20000
曾沂濱,2022-03-31,勞動基準法第23條第1項,大智研自動化股份有限公司,883560904WZT,未提供勞工工資各項目計算方式明細,新北府勞檢字第1114739037號,10000
曾沂濱,2022-03-31,勞動基準法第30條第5項,大智研自動化股份有限公司,883560905WZT,未依規定置備勞工出勤紀錄表,新北府勞檢字第11147390371號,45000
