principal,date,law,name,id,lawcontent,docno,amt_dollartwd
許納誨,2022-09-08,性別工作平等法第21條第1項,御年電子實業有限公司,902350655WZT,拒絕受僱者為育嬰留職停薪之請求,新北府勞業字第1110846475號,20000
許納誨,2022-09-08,性別工作平等法第21條第2項,御年電子實業有限公司,902350656WZT,受僱者為育嬰留職停薪之請求，遭受不利處分,新北府勞業字第11108464751號,20000
王木村,2022-11-14,性別工作平等法第21條第2項,歐娜企業有限公司,912161578WZT,受僱者為產檢假、產假、安胎休養或陪產假相關之請求，遭受不利處分,新北府勞業字第1112144422號,20000
黃曼麗,2022-12-30,性別工作平等法第21條第1項,佳賀菸酒有限公司,918284969WZT,拒絕受僱者為育嬰留職停薪期滿復職之請求,新北府勞業字第1111728192號,20000
鍾嘉村,2022-12-30,性別工作平等法第13條第2項,北基國際股份有限公司,918284970WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1111610756號,100000
謝禎樺,2023-01-03,性別工作平等法第13條第2項,豐達保全股份有限公司,918634162WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1111604035號,100000
黃士綱,2023-02-09,性別工作平等法第13條第1項,英屬維京群島商方案三三股份有限公司台灣分公司,923555635WZT,未訂定性騷擾防治措施、申訴及懲戒辦法，或未在工作場所公開揭示,新北府勞業字第1120186078號,100000
,2023-03-13,性別工作平等法第13條第2項,黃靖峰(即卡朵動物醫院),928838744WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1111785507號,50000
鄭明彥,2023-04-28,性別工作平等法第21條第2項,鐳鑫資訊有限公司,935611033WZT,受僱者為生理假之請求，遭受不利處分,新北府勞業字第1120175751號,20000
魏善為,2023-05-02,性別工作平等法第13條第2項,新京都雕塑有限公司,936060018WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1120265890號,100000
林讚枝,2023-07-06,性別工作平等法第21條第2項,新北市肉品市場,944579409WZT,受僱者為產檢假、產假、安胎休養或陪產假相關之請求，遭受不利處分,新北府勞業字第1120381993號,20000
林新欽,2023-06-30,性別工作平等法第13條第2項,宏盛建設股份有限公司,944579410WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1120628645號,100000
李聖彬,2023-07-06,性別工作平等法第13條第2項,動能機電工程股份有限公司,945459472WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1120442287號,100000
柯約翰 JOHN EDWARD CARA,2023-08-29,性別工作平等法第13條第2項,香港商世界健身事業有限公司台灣分公司,952891616WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1121071155號,100000
,2024-01-03,性別工作平等法第13條第2項,洪永泉(即靚舒養生館),971706822WZT,雇主於知悉工作場所性騷擾之情形時，未採取立即有效之糾正及補救措施,新北府勞業字第1121906071號,50000
