項次,業者名稱(市招),業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註,違反之食安法條及相關法_標準化,危害等級,危害判斷依據
5384,委鵬實業有限公司,新北市土城區大鞍里慶祥街77號1樓,品質改良劑N8,113/7/11,溴酸鉀、.順丁烯二酸及順丁烯二酸酐,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5385,委鵬實業有限公司,新北市土城區大安里慶祥街77號1樓,PH調整劑NO.1,111/8/2,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5386,委鵬實業有限公司,新北市土城區大安里慶祥街77號1樓,-,111/8/16,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5387,姚德和青草號,臺北市大同區民樂街55號1樓,_,110/4/7,GHP,合格,_,0,_,未明確標示,info,原始資料未提供有效法條資訊
5388,姚德和青草號,臺北市大同區民樂街55號1樓,青草茶,110/5/6,衛生標準,合格,_,0,_,未明確標示,info,原始資料未提供有效法條資訊
5389,姚雞莊成功店,臺北市大安區敦化南路2段120號,烏骨雞,114/2/5,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5390,姥干爹酸菜魚(老干爹),台北市文山區羅斯福路5段287號2樓,–,114/7/8,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5391,姨媽臭臭鍋,新北市中和區莒光路99號,豬肉卷,110/4/9,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5392,威勝肉品行,新北市三重區中正北路301號1樓,冷凍豬梅花肉,110/7/28,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5393,威勝肉品行,新北市三重區中正北路301號1樓,梅花肉,110/4/28,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5394,威宏肉品店,新北市樹林區保安街1段14巷49號,豬肉(台灣),114/5/13,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5395,威承貿易有限公司,新北市三重區中正北路317巷46號,板腱肉片(牛)(美國),112/3/25,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5396,威承貿易有限公司,新北市三重區中正北路317巷46號1樓,牛條肉,110/10/13,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5397,威承貿易有限公司,新北市三重區永發里中正北路317巷46號1、2樓,去骨羊肉(紐西蘭),111/4/27,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5398,威承貿易有限公司,新北市三重區永發里中正北路317巷46號1、2樓,­,111/6/16,GHP,不合格,食品安全衛生管理法第8條第1項、第44條第1項,60000,,違反食安法第8條、第44條,high,第8條 食品業者衛生管理（GHP）（其他未定義條: [44]）
5399,威斯登食品有限公司,新北市新莊區新樹路501之1號1.3.4樓,-,111/3/3,GHP,合格,-,,-,未明確標示,info,原始資料未提供有效法條資訊
5400,威爾森甜品舖(二水三京),臺北市大同區酒泉街66號1樓,鹼粽,114/4/15,防腐劑,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5401,威爾貝克手烘咖啡(Wilbeck威爾貝克手烘咖啡),臺北市信義區永吉路30巷158弄2號1樓,,112/3/29,標示(連鎖飲料便利商店及速食業之現場調製飲料標示規定),不合格,違反食安法第25條第2項，依同法第47條第10款裁處,30000,,違反食安法第25條，依同法第47條裁處,low,第25條 散裝食品標示
5402,娃娃城股份有限公司,新北市板橋區新站路28號5樓,蘋果胡蘿蔔汁,114/7/3,放射性核種,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5403,娃娃城股份有限公司板橋大遠百專櫃,新北市板橋區新站路28號5樓,麥茶飲料,113/9/30,重金屬,合格,,,嬰幼兒食品,未明確標示,info,原始資料未提供有效法條資訊
5404,娃娃臉雪花冰,新北市板橋區自由路28號,牛奶清冰,112/4/29,食品微生物,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5405,婕峰農產蔬果行,新北市板橋區板城路1000號,油菜,111/4/26,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5406,婷婷茶坊,新北市蘆洲區長安街82號,蔗香紅茶,110/1/14,食品微生物,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5407,媽媽好國際有限公司,新北市新莊區中平路126號,卡洛塔妮添加鐵質嬰兒羊奶配方,114/8/22,真菌毒素,合格,,,嬰幼兒食品,未明確標示,info,原始資料未提供有效法條資訊
5408,媽媽好國際有限公司新店營業所,新北市新店區寶橋路2號1樓,S-26金愛兒樂無乳糖配方(新升級),113/9/27,重金屬,合格,,,嬰幼兒食品,未明確標示,info,原始資料未提供有效法條資訊
5409,媽媽好國際股份有限公司,新北市中和區自治街36號,明治成長配方食品樂樂Q貝EZCube1-3歲,111/5/25,放射性核種,合格,,,嬰幼兒食品,未明確標示,info,原始資料未提供有效法條資訊
5410,媽媽好國際股份有限公司,新北市板橋區新海路116號1樓,新安琪兒寶寶無鹽日式素麵-胡蘿蔔,111/7/22,放射性核種,合格,,,嬰幼兒食品,未明確標示,info,原始資料未提供有效法條資訊
5411,媽媽好國際股份有限公司,新北市中和區中山路2段419號,卡洛塔妮營養水果麥精,111/2/16,真菌毒素,合格,,,嬰幼兒食品,未明確標示,info,原始資料未提供有效法條資訊
5412,媽媽好國際股份有限公司中平營業所,新北市新莊區中平路126號,魩仔魚蔬菜粥,111/3/24,放射性核種,合格,,,嬰幼兒食品,未明確標示,info,原始資料未提供有效法條資訊
5413,媽媽好國際股份有限公司永春營業所,臺北市信義區忠孝東路5段390號1樓,明和無鹽加鈣寶寶細麵—胡蘿蔔,111/3/3,放射性核種,合格,,,嬰幼兒食品,未明確標示,info,原始資料未提供有效法條資訊
5414,媽媽好國際股份有限公司汐科營業所,新北市汐止區南興路30號,明治嬰兒配方食品,114/2/3,放射性核種,合格,,,嬰幼兒食品類,未明確標示,info,原始資料未提供有效法條資訊
5415,媽媽好國際股份有限公司莊敬營業所,台北市信義區莊敬路399號,EnfaA+優生無乳糖嬰兒配方,114/11/5,真菌毒素,合格,,,嬰幼兒食品,未明確標示,info,原始資料未提供有效法條資訊
5416,媽媽好專業婦幼用品連鎖莊敬營業所,臺北市信義區莊敬路399號,雪印金強子1PLUS嬰兒配方食品,111/9/13,重金屬,合格,,,嬰幼兒食品,未明確標示,info,原始資料未提供有效法條資訊
5417,媽媽魚安心超市公館店,臺北市中正區辛亥路1段10號,虱目魚肚,112/7/3,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5418,媽媽魚安心超市公館店,臺北市中正區辛亥路1段10號,養殖午仔魚整隻(冷凍),110/8/3,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5419,媽媽魚安心超市公館店,臺北市中正區辛亥路1段10號,香草豬-五花肉片,110/5/3,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5420,媽寶商行(MABOPOKE夏威夷沙拉拌飯),新北市板橋區文化路一段311之21號,-,111/12/16,標示,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5421,媽寶商行(MABOPOKE夏威夷沙拉拌飯),新北市板橋區文化路一段311之21號,-,111/12/28,GHP,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5422,嬌嬌商行,新北市淡水區仁愛街14號,亞太密碼甜蝦,111/11/9,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
5423,嬌嬌商行,新北市淡水區仁愛街14號1樓,究好豬原味香腸,111/11/9,防腐劑、保色劑,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
