專案名稱,抽驗日期,分類,檢體名稱,抽驗行政郵遞區號,抽驗地點,檢驗結果,不符合規定原因
豆製品(含非基改食品),20220826,其他豆製品-干絲,"白干絲
(進貨日期：2022/8/26)",108,環南市場調理加工食品類第58號攤/臺北市萬華區環河南路2段245號,不符合規定,"殺菌劑過氧化氫：陽性(標準：不得殘留)
防腐劑苯甲酸：1.81 g/kg(標準：0.6 g/kg以下)"
截切水果,20220913,梨果類,水梨,108,艋舺夜市-男哥現削水果/臺北市萬華區廣州街182號前,不符合規定,"甜味劑糖精：0.03 g/kg
(標準：不得添加)"
美耐皿,20220919,塑膠類,櫻桃小丸子美耐皿水杯-學校‧藍,111,樂恩仕國際有限公司士林門市部/臺北市士林區中正路235巷33號、35號,不符合規定,"三聚氰胺:4.6ppm
(標準:2.5ppm以下)"
食品洗潔劑抽驗,20221003,食品洗潔劑,Palmolive洗潔精/檸檬香味,106,惠康百貨股份有限公司安和分公司(Mia C'bon 台北安和店)/臺北市大安區安和路2段78號地下1樓,不符合規定,未標示主要成分化學之名稱
食品洗潔劑抽驗,20221006,食品洗潔劑,酵速蔬果清洗劑,111,特力屋股份有限公司士林分公司/臺北市士林區基河路258號,不符合規定,"
甲醇：4.09 mg/mL 
(標準 : 1 mg/mL)"
蔬果,20221003,根莖菜類,白蘿蔔,104,長春素食有限公司(長春食素名人館)/臺北市中山區長春路90號2樓、90號2樓之1至42、90號2樓之68至之69、90號2樓之71至之94、新生北路2段38號1樓、林森北路259巷117號1樓、119號1樓、121號1樓、123號1樓,不符合規定,殺蟲劑Fipronil-sulfone芬普尼代謝物0.002ppm(標準：0.001ppm以下) 
蔬果,20221004,大漿果類,日昇甜木瓜,104,楊淑美水果攤/臺北市中山區遼寧街160號/公有長春市場外,不符合規定,殺蟎劑Bifenazate 必芬蟎0.02ppm(標準：不得檢出) 
蔬果,20221005,豆菜類,甜豌莢(豌豆),105,"微風超市股份有限公司(微風超市Breeze Super)/臺北市松山區復興南路1段39號B2
",不符合規定,"殺蟲劑Indoxacarb 因得克0.23ppm(標準：0.01ppm以下) 
殺蟲劑Spinetoram 賜諾特0.06ppm(標準：0.05ppm以下) "
蔬果,20221005,小葉菜類,青蔥,115,全聯實業股份有限公司南港旗艦分公司(全聯福利中心南港旗艦店)/臺北市南港區南港路2段20巷5號B1,不符合規定,殺蟲劑Fipronil-sulfone芬普尼代謝物0.003ppm(標準：0.001ppm以下) 
蔬果,20221006,大漿果類,百香果,114,大潤發流通事業股份有限公司南湖分公司(大潤發內湖二店)/臺北市內湖區舊宗路1段188號,不符合規定,殺菌劑Carbendazim 貝芬替1.2ppm(標準：1.0ppm以下) 
蔬果,20221004,根莖菜類,白蘿蔔,112,福家莊小吃店(全國健康素食)/臺北市北投區裕民一路25號,不符合規定,"殺蟲劑Fipronil 芬普尼0.002ppm、Fipronil-sulfone芬普尼代謝物0.004ppm(標準：0.001ppm以下)
殺蟲劑Cyhalothrin 賽洛寧0.02ppm(標準：0.01ppm以下) "
蔬果,20221004,小葉菜類,芹菜(LG2),112,梁炎煌/自強市場無市招菜攤/臺北市北投區西安街1段281巷19號,不符合規定,"殺蟲劑Chlorpyrifos 陶斯松0.06ppm(標準：0.01ppm以下) 
殺蟲劑Terbufos 托福松0.09ppm(標準：0.05ppm以下) "
蔬果,20221005,小葉菜類, LD1(青江菜),108,3291洪黃熟(實際營業者：洪嘉茂)/第一果菜批發市場零批場攤號3291/臺北市萬華區萬大路533號地號：1413,不符合規定,殺蟲劑Cyhalothrin 賽洛寧2.3ppm(標準：1.0ppm以下) 
蔬果,20221005,大漿果類,百香果,100,延桔行(延桔水果行)/臺北市中正區愛國西路52號1樓,不符合規定,"殺菌劑Fluxapyroxad 氟克殺0.05ppm(標準：不得檢出) 
殺蟲劑Pyriproxyfen 百利普芬0.4ppm(標準：0.2ppm以下) 
殺蟲劑Cyromazine 賽滅淨0.50ppm(標準：不得檢出) "
蔬果,20221005,大漿果類,百香果,100,豐有蔬果行/臺北市中正區杭州南路1段69號,不符合規定,殺蟲劑Cyromazine 賽滅淨0.05ppm(標準：不得檢出) 
蔬果,20221005,核果類,龍眼,106,通化水果行/臺北市大安區通化街39巷50弄33號,不符合規定,"殺蟲劑Carbaryl 加保利0.9ppm(標準：0.5ppm以下) 
殺菌劑Carbendazim 貝芬替4.9ppm(標準：2.0ppm以下) 
殺蟲劑Chlorpyrifos 陶斯松0.12ppm(標準：0.01ppm以下) "
蔬果,20221006,根莖菜類,白蘿蔔,106,全國食養創作全自助餐復興店(復興小吃店/全國健康素食)/臺北市大安區復興南路2段314號,不符合規定,殺蟲劑Fipronil 芬普尼0.001ppm、Fipronil-sulfone芬普尼代謝物0.001ppm(標準：0.001ppm以下) 
火鍋料,20221011,豆腐,豆腐(素),100,八海國際餐飲股份有限公司(八海食潮當代鍋物)/臺北市中正區北平西路3號3樓,不符合規定,苯甲酸：1.39g/kg(標準：不得檢出)
火鍋料,20221013,鮮果蔬菜類及其加工品,青江菜,110,英屬開曼群島商撈王餐飲國際股份有限公司臺灣分公司信義營業處/臺北市信義區松壽路12號9樓,不符合規定,"1.殺蟲劑芬普尼(Fipronil)：0.046ppm、芬普尼代謝物(Fipronil-sulfone)：0.011ppm(標準：0.001ppm)
2.殺蟲劑百利普芬(Pyriproxyfen)：0.73ppm(標準：0.01ppm)"
火鍋料,20221014,鮮果蔬菜類及其加工品,青蔥,115,小鍋南港店/臺北市南港區忠孝東路7段369號A棟3樓(A4703櫃),不符合規定,"1.殺蟲劑芬普尼代謝物(Fipronil-sulfone)：0.003ppm(標準：0.001ppm)
2.殺菌劑賽氟滅(Thifluzamide)：0.04ppm(標準：不得檢出)"
火鍋料,20221017,鮮果蔬菜類及其加工品,白蘿蔔,103,新加坡商海底撈事業股份有限公司臺灣第一分公司(海底撈火鍋京站店)/臺北市大同區承德路一段1號4樓,不符合規定,殺蟲劑芬普尼(Fipronil)：0.001ppm、芬普尼代謝物(Fipronil-sulfone)：0.001ppm(標準：0.001ppm)
火鍋料,20221017,鮮果蔬菜類及其加工品,芫荽,104,人杰老四川餐飲管理顧問有限公司臺北南京東分公司(老四川巴蜀麻辣燙)/臺北市中山區南京東路2段45號1、2樓；47號1、2樓,不符合規定,殺草劑草脫淨(Atrazine)：0.02ppm(標準：不得檢出)
市售食品反式脂肪酸含量,20221018,沙拉醬,"沙拉醬
(有效日期：2022/12/8)",104,饗樂餐飲實業股份有限公司中山錦州分公司/臺北市中山區吉林路205號1樓,不符合規定,營養標示反式脂肪含量為「每份：0公克/每100公克：0公克」，惟檢出每100公克反式脂肪酸含量0.40公克，依據「包裝食品營養標示應遵行事項」，每100公克固體（半固體）反式脂肪酸含量不超過0.3公克得標示為0，案內產品應依實際數值標示。
市售食品反式脂肪酸含量,20221020,沙拉醬,"西式千島沙拉醬
(有效日期：2023/4/6)",105,粉紅色的門早午餐坊(品客多Coffee house)/臺北市松山區八德路4段789號1樓,不符合規定,營養標示反式脂肪含量為「每份：0公克/每100公克：0公克」，惟檢出每100公克反式脂肪酸含量0.49公克，依據「包裝食品營養標示應遵行事項」，每100公克固體（半固體）反式脂肪酸含量不超過0.3公克得標示為0，案內產品應依實際數值標示。
