項次,業者名稱(市招),業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註,違反之食安法條及相關法_標準化,危害等級,危害判斷依據
145,王邱月紅（臺北市中山區民族東路336號,第二果菜批發市場蔬菜零批場/濱江市場19-08攤）,芥蘭花,112/8/4,小葉菜類,不符合規定,違反食安法第15條,,[蔬果] 殺蟲劑Deltamethrin 第滅寧0.3ppm(標準：0.2ppm以下) ,違反食安法第15條,critical,第15條 食品/添加物不得有特定情形
146,"蝦皮購物-彩虹菇
(https:",/shopee.tw/day22882288),"巴西蘑菇(純素)
(有效日期：2024/04/03)",112/8/22,包裝,不符合規定,違反食安法第15條,,"[網路販售蔬果類食品] 鎘-8mg/kg
(標準: 2 mg/kg)",違反食安法第15條,critical,第15條 食品/添加物不得有特定情形
147,"蝦皮購物-豐產香菇行
(https:",/shopee.tw/feng_chan),"野生川耳(純素)
(有效日期：2024/05/03)",112/8/22,包裝,不符合規定,違反食安法第22條,,[網路販售蔬果類食品] 1.檢驗符合規定2.標示不符規定,違反食安法第22條,medium,第22條 包裝食品標示應載事項
148,"Pchome24h購物
(https:",/24h.pchome.com.tw/),"瑪雅氏粉紅鹽(中鹽)
(有效日期：2026/09/30)",112/9/4,包裝,不符合規定,違反食安法第15條,,"[網路販售蔬果類食品] 鉛-3.21mg/kg
(標準: 2 mg/kg)
砷-1.03mg/kg
(標準: 0.2 mg/kg)",違反食安法第15條,critical,第15條 食品/添加物不得有特定情形
149,蝦皮購物-Alita曖莉塔(https:,/shopee.tw/wuy95304),"狸貓妃螺螄粉-螺螄醬料包
(有效日期:2024/03/25)",112/11/29,螺獅粉,不符合規定,違反食安法第18條,,[螺獅粉專案] 檢出防腐劑去水醋酸：0.03 g/kg(標準：不得添加),違反食安法第18條,high,第18條 食品添加物使用標準
150,"Pchome24h購物
(https:",/24h.pchome.com.tw/),真好家辣椒粉,113/2/19,包裝,不符合規定,未明確標示,,"[網路販售市售辣椒粉食品] 1.蘇丹三號-8ppb
(標準：不得檢出)
2.克美素-0.07ppm
(標準：不得檢出)",未明確標示,info,原始資料未提供有效法條資訊
151,"momo購物網
(https:",/www.momoshop.com.tw/main/Main.jsp),匈牙利紅椒粉,113/2/19,包裝,不符合規定,未明確標示,,"[網路販售市售辣椒粉食品] 1.二、四地(2,4-D)-0.27ppm
(標準：0.05ppm)
2.克美素-0.16ppm
(標準：不得檢出)",未明確標示,info,原始資料未提供有效法條資訊
152,"蝦皮購物-泰菲印越2.0
(https:",/shopee.tw/tfiv2.0),泰式辣椒粉,113/2/19,包裝,不符合規定,未明確標示,,"[網路販售市售辣椒粉食品] 1.蘇丹三號-8ppb
(標準：不得檢出)
2.克美素-0.07ppm
(標準：不得檢出)",未明確標示,info,原始資料未提供有效法條資訊
153,食代嚴選（https:,/www.fresh2you.tw）,迷迭香_新鮮香草,113/3/5,小漿果類,不符合規定,違反食安法第15條,,"[蔬果] 殺蟲劑Bifenthrin	畢芬寧1.89ppm(標準：0.01ppm以下)	
殺菌劑Carbendazim	貝芬替0.02ppm(標準：0.01ppm以下)	
殺蟲劑Chlorfenapyr	克凡派0.09ppm(標準：0.01ppm以下)	
殺菌劑Difenoconazole	待克利0.54ppm(標準：0.01ppm以下)	
殺菌劑Dimethomorph	達滅芬0.60ppm(標準：0.01ppm以下)	
殺蟲劑Dinotefuran	達特南0.74ppm(標準：不得檢出)
殺蟲劑Fenvalerate	芬化利0.26ppm(標準：0.01ppm以下)	
殺蟲劑Flubendiamide	氟大滅0.56ppm(標準：不得檢出)	
殺菌劑Fluopicolide	氟比來0.03ppm(標準：0.01ppm以下)	
殺蟲劑Methomyl	納乃得10.26ppm(標準：不得檢出)	
殺線蟲劑Oxamyl	毆殺滅0.04ppm(標準：0.01ppm以下)	
殺菌劑Procymidone	撲滅寧0.16ppm(標準：0.01ppm以下)	
殺蟲劑Profenophos	佈飛松0.03ppm(標準：0.01ppm以下)	
殺菌劑Propamocarb hydrochloride	普拔克0.32ppm(標準：0.01ppm以下)	
殺菌劑Pyraclostrobin	百克敏0.07ppm(標準：0.01ppm以下)	
殺蟲劑Pyriproxyfen	百利普芬0.06ppm(標準：0.01ppm以下)	
殺蟎劑Spirotetramat	賜派滅0.02ppm(標準：不得檢出)	
殺菌劑Thiabendazole	腐絕0.06ppm(標準：0.01ppm以下)	
殺蟲劑Thiodicarb	硫敵克0.10ppm(標準：0.01ppm以下)	",違反食安法第15條,critical,第15條 食品/添加物不得有特定情形
154,"pchome24h購物網
(https:",/24h.pchome.com.tw/),法國葛宏德天然海鹽-1kg,113/5/29,包裝,不符合規定,違反食安法第15條,,"[網路販售食品] 砷:0.35 mg/kg
(標準:0.2 mg/kg以下)",違反食安法第15條,critical,第15條 食品/添加物不得有特定情形
155,"放心初蔬果網
(https:",/funthingtrue.com.tw/),臺灣-貴妃玉荷包,113/6/4,核果類,不符合規定,未明確標示,,"[網路販售食品] 百滅寧:0.09 ppm
(標準:0.01ppm以下)",未明確標示,info,原始資料未提供有效法條資訊
156,"蝦皮購物-sutinglin
(https:",/shopee.tw/sutinglin),北海道白銀食用百合球根一球199元(非常好吃),113/6/6,根莖菜類,不符合規定,違反食安法第15條,,"[網路販售食品] 鎘:0.17 mg/kg
(標準:0.05 mg/kg以下)
扶吉胺:0.30 ppm
(標準:不得檢出)",違反食安法第15條,critical,第15條 食品/添加物不得有特定情形
157,"蝦皮購物-HomeBar泓吧嚴選新鮮蔬果
(https:",/shopee.tw/jacck2668),日本百合(北海道)XXL,113/6/7,根莖菜類,不符合規定,違反食安法第15條,,"[網路販售食品] 鎘:0.53 mg/kg
(標準:0.05 mg/kg以下)
扶吉胺:1.57 ppm
(標準:不得檢出)",違反食安法第15條,critical,第15條 食品/添加物不得有特定情形
158,臺北市中山區民族東路410巷2弄20號前,（未記載）,九層塔(羅勒),113/7/2,小葉菜類,不符合規定,違反食安法第15條,,[蔬果] 殺草劑Oxadiazon 樂滅草0.02ppm(標準：0.01ppm以下) ,違反食安法第15條,critical,第15條 食品/添加物不得有特定情形
159,彼娜滋,（未記載）,"原味花生粉(有效日期：
20250216)",113/11/19,花生製品,不符合規定,違反食安法第15條,,"[年節食品] 1.黃麴毒素B1：27.3µg/kg（標準：2µg/kg以下）及總黃麴毒素：33.5µg/kg（標準：4µg/kg以下）
2.產品外包裝未標示「內容物名稱」、「淨重、容量或數量」、「製造廠商或國內負責廠商名稱」、「原產地
（國）」、「營養標示」，且未標示「有效日期」字樣",違反食安法第15條,critical,第15條 食品/添加物不得有特定情形
