項次,業者名稱(市招),業者地址,產品名稱,稽查日期,稽查/檢驗項目,稽查/檢驗結果,違反之食安法條及相關法,裁罰金額,備註,違反之食安法條及相關法_標準化,危害等級,危害判斷依據
95,邵○勇,新北市三重區,特選甜豆(豌豆),111/6/1,農藥(可尼丁、脫芬瑞、賽速安),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
96,郭O治,臺北市萬華區,梅花肉,112/5/17,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
97,鄭O豐,臺北市中山區,肝連,112/3/21,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
98,鄭O豐,臺北市中山區,大腸頭-P244W(含備份),111/3/24,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
99,鄭○癸,新北市新莊區,絲瓜,111/5/30,農藥(芬佈賜),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
100,鄭○華,臺北市萬華區,菜豆,112/1/4,農藥(因得克、普拔克、加保扶、賽氟滅、依芬寧、愛殺松),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
101,重慶水果行4018劉○彩,臺北市萬華區,GrannySmith(紐西蘭青蘋果),111/11/3,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
102,阿德雞肉,臺北市內湖區湖光臨時攤販集中場,烏骨雞,112/7/19,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
103,陳O玲,新北市三重區,烏魚,114/1/14,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
104,陳O鴻,臺北市松山區,雞胗,114/2/5,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
105,陳○宏(無市招),新北市新莊區,香瓜,112/6/26,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
106,陳○志,新北市三重區,玉女小蕃茄,114/3/7,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
107,陳○恒,臺北市中山區,青江菜(嘉南水耕蔬菜),111/3/1,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
108,陳○恒,臺北市中山區,菠菜,110/1/5,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
109,陳○朗,新北市板橋區,西芹,110/7/1,農藥(氟尼胺),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
110,陳○松,臺北市萬華區,菠菜,113/1/16,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
111,陳○水,臺北市中山區,白杏菜(莧菜),114/8/5,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
112,陳○男,新北市新莊區,茂谷柑,114/3/6,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
113,陳○祥,臺北市萬華區,甜豆,112/9/27,農藥(毆殺斯),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
114,陳○結,臺北市中山區,豌豆,112/6/1,農藥(可尼丁、達滅芬、脫芬瑞、得克利),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
115,陳○義,新北市板橋區,手工板豆腐,112/9/11,殺菌劑,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
116,陳○芝,新北市金山區,自產自銷甘藍,111/3/31,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
117,陳○豪,新北市土城區,香菜,114/3/5,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
118,陳○財,臺北市萬華區,【台灣】竹葉黑荔枝,111/6/30,農藥(陶斯松),不合格,依食安法第47條第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
119,陳○通,新北市深坑區,豌豆,113/10/4,農藥(芬克座),不合格,依食安法第47條第1項第11款裁處,30000,,依食安法第47條裁處,medium,依第47條裁處 → 多源自第22/25/26/27條
120,陳○雄,臺北市萬華區,欣樺保鮮大根(白蘿蔔),110/10/13,農藥(三氯松、賽速安),不合格,違反食安法第15條第1項第5款，依同法第44條第1項第2款裁處,60000,,違反食安法第15條，依同法第44條裁處,critical,第15條 食品/添加物不得有特定情形
121,陸霸王,臺北市松山區,生鮮牛肚,110/6/30,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
122,青泉谷友善永續農舍,臺北市松山區,優質放牧雞蛋,110/6/8,動物用藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
123,韋氏O,新北市三峽區,白米,110/10/6,重金屬,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
124,顏○業,新北市新莊區,櫛瓜,114/3/6,農藥殘留,合格,,,,未明確標示,info,原始資料未提供有效法條資訊
